Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.180626e+01,1.415390e+01,5.336822e+00,8.201778e+00,4.239979e+00,2.679698e+00,4.596868e+00,3.502094e+01,9.488908e+00,0.000000e+00,6.317569e+00,7.659731e+00,4.323787e-01,5.300629e+00,2.292848e+00,9.639319e+00,1.928390e+00,1.854052e+01,2.020705e+01,6.017563e+00,0.000000e+00,4.562950e+00,0.000000e+00,1.763229e-01,0.000000e+00,2.622461e+01,4.239979e+00,1.871685e+01,3.961781e+01,1.161820e+01,1.897290e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.769582e-01,2.127619e+00,4.602616e-01,4.235642e-01,1.977412e+00,1.810454e-01,2.844125e-01,4.921933e-01,1.220191e+00,4.419612e-01,2.354867e-01,1.374106e+01,2.298143e+00,1.333433e+00,1.708360e+01,1.094754e+01,9.049660e+00,1.141221e+00,5.782134e+00,8.289089e-01,8.339923e-01,1.765956e-01,2.620930e-01,5.882534e-01,8.544799e-02,4.303961e-01,9.602637e-01,1.121142e-01,3.998572e-01,1.205477e+00,3.652981e+00,4.575951e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.710331e+00,5.513473e+00,8.389349e+01,1.503228e+01,5.254634e-02,6.713867e+00,3.961558e+01,1.073714e+02,1.073714e+02,5.020746e+03,6.263949e+03,4.688216e+00,1.143810e+02,5.539870e+01,3.087538e-02,5.866158e+00,1.048207e+00,2.799042e+08,7.665292e+00,5.999271e-02,1.525879e-01,4.468494e+04,3.026780e+04,5.035400e+00,1.703975e-02,3.293365e-02,-7.999642e-02,4.070352e-02,9.249513e-01,5.899037e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,5.560757e-03,2.951975e+00
1,1,1,Cr,1,1.379525e-02,3.183099e+00
1,1,1,CrCH2,1,1.685112e-02,0.000000e+00
1,1,1,GABA,1,-7.176296e-04,3.183099e+00
1,1,1,GPC,1,8.924631e-03,3.183099e+00
1,1,1,GSH,1,1.184906e-02,3.068438e+00
1,1,1,Gln,1,2.862742e-02,3.183099e+00
1,1,1,Glu,1,1.076475e-02,3.183099e+00
1,1,1,Ins,1,1.531987e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,8.653099e-03,1.363067e+00
1,1,1,NAAG,1,1.841722e-02,2.275549e+00
1,1,1,PCh,1,2.311442e-02,4.494100e-01
1,1,1,PCr,1,1.574448e-03,0.000000e+00
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,1.035116e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,4.912334e-02,1.182143e+00
1,1,1,MM12,1,1.000000e-01,8.468191e+00
1,1,1,MM14,1,9.401252e-03,0.000000e+00
1,1,1,MM17,1,-2.157599e-02,0.000000e+00
1,1,1,MM20,1,-1.114612e-02,0.000000e+00
1,1,1,Lip09,1,-7.353814e-03,0.000000e+00
1,1,1,Lip13,1,-3.198046e-02,0.000000e+00
1,1,1,Lip20,1,6.857266e-03,6.162992e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
