Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.542185e+01,1.160056e+01,5.755479e+00,7.098623e+00,2.471585e+00,2.345386e+00,4.978096e+00,3.294274e+01,1.072357e+01,0.000000e+00,9.221594e+00,1.210174e+01,3.181217e+00,0.000000e+00,4.886703e-01,0.000000e+00,1.773428e+00,9.206255e+00,2.503285e+01,2.668000e+00,1.484039e+00,5.568200e+00,2.177869e+00,0.000000e+00,0.000000e+00,2.770085e+01,3.955624e+00,1.716876e+01,3.792084e+01,9.221594e+00,1.238747e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.870930e-01,2.308173e+00,3.858333e-01,4.862845e-01,2.218864e+00,2.469481e-01,2.062608e-01,4.753411e-01,1.173479e+00,4.092452e-01,4.075031e-01,1.791394e+02,1.905878e+01,2.979501e+00,1.788947e+02,2.027635e+00,2.043195e+01,2.092147e+00,6.769716e+00,5.695852e-01,7.475264e-01,3.239499e-01,2.925155e-01,8.462147e-01,5.296621e-02,4.715535e-01,6.021854e-01,1.149149e-01,3.104577e-01,1.042884e+00,1.144058e+00,4.503886e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,3.606103e+00,7.021895e+00,8.698370e+01,1.133305e+01,3.821549e-02,4.882813e+00,3.731724e+01,1.345698e+02,1.345698e+02,6.129363e+03,6.430187e+03,4.700158e+00,8.418069e+01,5.755281e+01,3.146991e-02,5.919741e-01,-8.381137e-01,2.786897e+08,6.849666e+00,5.360914e-02,3.051758e-01,4.334083e+04,3.940138e+04,6.408691e+00,1.381285e-02,2.076961e-02,-5.539343e-02,2.513967e-02,8.733824e-01,4.437454e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,4.665118e-03,3.183099e+00
1,1,1,Cr,1,9.409433e-03,9.087054e-01
1,1,1,CrCH2,1,1.067612e-02,0.000000e+00
1,1,1,GABA,1,-4.146436e-03,3.183099e+00
1,1,1,GPC,1,4.877709e-03,0.000000e+00
1,1,1,GSH,1,8.953672e-03,1.919334e-01
1,1,1,Gln,1,2.604443e-02,3.183099e+00
1,1,1,Glu,1,1.439577e-02,1.986827e+00
1,1,1,Ins,1,1.710392e-02,0.000000e+00
1,1,1,Lac,1,3.000000e-02,2.312420e+00
1,1,1,NAA,1,1.056221e-02,6.275594e-01
1,1,1,NAAG,1,2.035220e-02,1.811138e+00
1,1,1,PCh,1,3.000000e-02,3.183099e+00
1,1,1,PCr,1,7.067617e-03,5.316843e-01
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,-0.000000e+00,6.366198e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,2.904401e-04,5.671039e-01
1,1,1,MM12,1,8.611212e-03,0.000000e+00
1,1,1,MM14,1,-9.103135e-02,7.355827e-01
1,1,1,MM17,1,-2.571716e-02,0.000000e+00
1,1,1,MM20,1,4.130617e-02,8.763769e-01
1,1,1,Lip09,1,2.244015e-02,0.000000e+00
1,1,1,Lip13,1,9.969790e-02,0.000000e+00
1,1,1,Lip20,1,2.786538e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277705e+08
N,2048
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
