Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.122484e+01,1.052199e+01,2.653139e+00,4.563336e+00,9.647453e-01,2.777678e+00,4.691915e+00,3.607723e+01,9.589001e+00,0.000000e+00,1.066326e+01,5.086305e+00,5.708324e+00,0.000000e+00,0.000000e+00,5.403919e+00,6.115623e-01,2.710002e+01,2.853702e+01,4.029769e+00,2.748337e+00,5.548874e+00,2.774494e+00,3.411064e-01,0.000000e+00,3.256679e+01,3.713082e+00,1.607087e+01,4.076914e+01,1.066326e+01,3.280834e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.431558e-01,1.475029e+00,3.172416e-01,2.688459e-01,1.874632e+00,1.958329e-01,1.678846e-01,3.748226e-01,1.117115e+00,3.012267e-01,1.501379e-01,9.581414e+01,3.892351e+00,2.585803e+00,9.540064e+01,2.704245e+00,3.744965e+00,7.531089e-01,1.288342e+01,5.041682e-01,6.185937e-01,1.923434e-01,2.483488e-01,5.413097e-01,5.757502e-02,3.050748e-01,5.386336e-01,8.886197e-02,2.397140e-01,1.121513e+00,1.255277e+00,8.423272e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.646823e+00,4.323886e+00,8.272697e+01,1.098787e+01,3.821552e-02,4.882813e+00,5.458368e+01,1.444733e+02,1.444733e+02,5.210608e+03,5.787838e+03,4.685827e+00,7.101362e+01,2.406967e+01,2.035156e-02,5.736007e+00,-7.539469e-01,2.859515e+08,6.936004e+00,5.428491e-02,1.525879e-01,4.940558e+04,4.263357e+04,4.577637e+00,1.793825e-02,3.560562e-02,-3.845785e-02,1.928996e-02,6.697571e-01,3.653110e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,9.742228e-04,2.887536e+00
1,1,1,Cr,1,6.593500e-03,2.396284e+00
1,1,1,CrCH2,1,1.035394e-02,0.000000e+00
1,1,1,GABA,1,2.477174e-03,3.183099e+00
1,1,1,GPC,1,3.000000e-02,3.183099e+00
1,1,1,GSH,1,7.088185e-03,1.497381e+00
1,1,1,Gln,1,2.200767e-02,3.183099e+00
1,1,1,Glu,1,1.175939e-02,3.183099e+00
1,1,1,Ins,1,1.280888e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,7.370621e-03,1.655653e+00
1,1,1,NAAG,1,1.241094e-02,3.183099e+00
1,1,1,PCh,1,6.998108e-03,1.142102e+00
1,1,1,PCr,1,5.294598e-03,1.679359e+00
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,1.027268e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,-9.186123e-02,7.479908e-02
1,1,1,MM14,1,-5.106084e-02,0.000000e+00
1,1,1,MM17,1,-6.084753e-03,0.000000e+00
1,1,1,MM20,1,9.295743e-02,1.591549e+01
1,1,1,Lip09,1,1.395933e-02,0.000000e+00
1,1,1,Lip13,1,-9.128228e-02,0.000000e+00
1,1,1,Lip20,1,4.212797e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
