Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.541669e+01,1.026848e+01,6.990044e+00,1.019786e+01,2.510842e+00,2.466986e+00,3.957687e+00,3.194816e+01,1.125544e+01,4.658299e-01,2.989455e+00,0.000000e+00,4.185223e+00,8.602240e+00,3.209692e+00,0.000000e+00,8.300891e+00,1.280786e+01,2.324098e+01,1.890748e+00,1.248830e+00,7.410796e+00,3.224348e+00,1.124189e-01,0.000000e+00,2.513173e+01,3.759672e+00,1.767928e+01,3.590585e+01,1.159169e+01,1.699308e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.227376e-01,2.518261e+00,4.031666e-01,5.743620e-01,2.987063e+00,2.975842e-01,2.691020e-01,5.500473e-01,1.710925e+00,5.463829e-01,9.650932e-01,1.314108e+01,3.466985e+00,4.476192e+00,1.735855e+01,2.358504e+00,3.181868e+00,4.706109e+00,7.518542e+00,6.235298e-01,5.110401e-01,3.108976e-01,3.675279e-01,9.976140e-01,1.063860e-01,5.959839e-01,6.494631e-01,1.654741e-01,3.742787e-01,1.306748e+00,4.663787e+00,6.334200e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.940967e+00,4.790990e+00,8.718559e+01,1.230276e+01,3.821552e-02,4.882813e+00,3.834162e+01,1.127614e+02,1.127614e+02,4.540868e+03,6.123856e+03,4.689410e+00,7.980440e+01,5.658284e+01,3.120362e-02,-3.439434e+00,-7.118843e-01,2.275051e+08,7.021623e+00,5.495500e-02,1.525879e-01,3.715062e+04,2.135426e+04,4.882812e+00,3.059460e-02,7.078754e-02,-5.751582e-02,3.792616e-02,7.776580e-01,5.216818e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,1.167894e-03,2.900478e+00
1,1,1,Cr,1,9.159941e-03,3.426965e-01
1,1,1,CrCH2,1,1.010626e-02,0.000000e+00
1,1,1,GABA,1,5.083487e-03,3.183099e+00
1,1,1,GPC,1,1.205083e-02,3.183099e+00
1,1,1,GSH,1,6.200881e-03,9.884089e-01
1,1,1,Gln,1,1.924089e-02,3.183099e+00
1,1,1,Glu,1,9.526289e-03,2.197714e+00
1,1,1,Ins,1,1.237313e-02,0.000000e+00
1,1,1,Lac,1,8.518928e-03,0.000000e+00
1,1,1,NAA,1,7.444515e-03,3.188389e-01
1,1,1,NAAG,1,2.204123e-02,0.000000e+00
1,1,1,PCh,1,3.927298e-03,0.000000e+00
1,1,1,PCr,1,-2.088835e-03,1.556121e+00
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,8.132916e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.546502e-02,0.000000e+00
1,1,1,MM12,1,-1.196018e-02,0.000000e+00
1,1,1,MM14,1,-0.000000e+00,6.366198e-01
1,1,1,MM17,1,1.025974e-02,0.000000e+00
1,1,1,MM20,1,6.186591e-02,2.351613e+00
1,1,1,Lip09,1,-1.597409e-02,9.220423e-01
1,1,1,Lip13,1,-1.232955e-04,6.364547e-01
1,1,1,Lip20,1,3.584324e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
