Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.309560e+01,1.361059e+01,4.542601e+00,8.167789e+00,2.137281e+00,2.053044e+00,5.369055e+00,3.520305e+01,9.173168e+00,0.000000e+00,8.236989e-01,0.000000e+00,0.000000e+00,9.437792e+00,2.239704e+00,7.292861e+00,5.648594e+00,1.756958e+01,1.995629e+01,4.987514e+00,1.496710e+00,5.282935e+00,1.775977e+00,0.000000e+00,0.000000e+00,2.494380e+01,3.633991e+00,1.889352e+01,4.057210e+01,1.026149e+01,1.756958e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.861550e-01,2.046548e+00,4.526126e-01,4.305690e-01,2.361275e+00,2.450749e-01,2.046525e-01,4.923302e-01,1.287320e+00,4.430141e-01,2.542502e-01,8.515789e-01,7.202837e+00,1.114897e+00,4.017694e+00,1.386546e+00,6.275247e+00,5.191046e+00,5.328252e+00,7.203370e-01,7.976465e-01,3.251744e-01,3.118356e-01,8.362638e-01,5.601014e-02,4.834373e-01,8.569027e-01,1.323324e-01,3.339710e-01,1.267530e+00,3.583459e+00,4.617371e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.516017e+00,5.863531e+00,8.681201e+01,1.317083e+01,5.254630e-02,6.713867e+00,4.092854e+01,1.029769e+02,1.029769e+02,5.037338e+03,6.263665e+03,4.688215e+00,1.184314e+02,6.223723e+01,3.272558e-02,4.461695e+00,-3.140497e-01,2.778865e+08,7.291141e+00,5.706436e-02,1.525879e-01,4.436484e+04,4.403142e+04,5.035400e+00,1.341588e-02,2.561522e-02,-6.528833e-02,3.457992e-02,7.601536e-01,5.244934e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,4.620686e-04,3.183099e+00
1,1,1,Cr,1,9.760795e-03,2.466558e+00
1,1,1,CrCH2,1,1.099926e-02,0.000000e+00
1,1,1,GABA,1,6.361017e-03,3.183099e+00
1,1,1,GPC,1,4.198873e-04,3.474238e-01
1,1,1,GSH,1,4.581271e-03,5.874075e-01
1,1,1,Gln,1,2.378280e-02,3.183099e+00
1,1,1,Glu,1,7.980437e-03,3.183099e+00
1,1,1,Ins,1,1.200613e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,8.089002e-03,1.074157e+00
1,1,1,NAAG,1,1.498886e-02,1.798684e+00
1,1,1,PCh,1,3.000000e-02,3.183099e+00
1,1,1,PCr,1,-9.238005e-04,8.222885e-01
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,-0.000000e+00,6.366198e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.210506e-02,0.000000e+00
1,1,1,MM12,1,-3.681943e-03,0.000000e+00
1,1,1,MM14,1,-1.814743e-02,0.000000e+00
1,1,1,MM17,1,-2.431937e-02,0.000000e+00
1,1,1,MM20,1,-3.581172e-03,0.000000e+00
1,1,1,Lip09,1,-1.000000e-01,9.858995e+00
1,1,1,Lip13,1,1.927196e-03,6.720196e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277705e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
