Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.586098e+01,1.233979e+01,5.718677e+00,1.764908e+01,3.826192e+00,2.104477e+00,7.359584e+00,3.386489e+01,1.051853e+01,7.121452e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.152222e+01,3.732905e+00,4.712692e+00,6.052358e+00,3.097851e+01,2.075462e+01,4.488741e+00,1.508325e+00,5.969873e+00,1.710262e+00,6.553970e-01,0.000000e+00,2.524336e+01,5.334517e+00,1.830967e+01,4.122447e+01,1.152222e+01,3.097851e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.444942e-01,3.251389e+00,6.033898e-01,8.730160e-01,3.781998e+00,5.131204e-01,3.066225e-01,6.842627e-01,1.702033e+00,7.242189e-01,1.704267e+00,1.869784e+01,7.663462e+00,1.367477e+00,2.144963e+01,2.502004e+00,5.674113e+00,5.405975e+00,5.398777e+00,1.079472e+00,1.372736e+00,4.334682e-01,4.247911e-01,1.801452e+00,3.797452e-01,8.495814e-01,1.230030e+00,3.859713e-01,4.915096e-01,1.816471e+00,2.070251e+00,4.926444e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.567974e+00,5.795422e+00,8.352967e+01,1.877691e+01,5.732328e-02,7.324219e+00,4.115584e+01,1.056871e+02,1.056871e+02,5.106936e+03,6.534536e+03,4.689410e+00,1.322785e+02,1.312431e+02,4.752267e-02,-1.439765e+00,1.046628e+00,2.647235e+08,7.891479e+00,6.176297e-02,1.525879e-01,4.051144e+04,2.661529e+04,5.035400e+00,1.773711e-02,3.890987e-02,-5.119843e-02,2.442145e-02,1.103557e+00,5.724867e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,-3.613714e-03,3.183099e+00
1,1,1,Cr,1,1.106524e-02,7.302677e-01
1,1,1,CrCH2,1,1.268664e-02,0.000000e+00
1,1,1,GABA,1,4.830279e-03,3.183099e+00
1,1,1,GPC,1,1.414554e-02,3.105381e+00
1,1,1,GSH,1,8.310451e-03,5.480139e-01
1,1,1,Gln,1,2.720345e-02,3.183099e+00
1,1,1,Glu,1,9.000737e-03,2.262990e+00
1,1,1,Ins,1,1.329509e-02,0.000000e+00
1,1,1,Lac,1,3.000000e-02,1.408329e-02
1,1,1,NAA,1,7.505193e-03,0.000000e+00
1,1,1,NAAG,1,9.790150e-03,3.183099e+00
1,1,1,PCh,1,9.164771e-04,0.000000e+00
1,1,1,PCr,1,-1.233444e-03,1.138578e-01
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,-3.000000e-02,3.152805e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.114622e-02,0.000000e+00
1,1,1,MM12,1,-4.986064e-02,0.000000e+00
1,1,1,MM14,1,-6.659656e-02,0.000000e+00
1,1,1,MM17,1,-2.168708e-02,0.000000e+00
1,1,1,MM20,1,-2.851619e-02,0.000000e+00
1,1,1,Lip09,1,6.508550e-05,6.385461e-01
1,1,1,Lip13,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
