Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.815491e+01,1.143420e+01,4.963764e+00,1.264047e+01,2.360504e+00,2.178977e+00,4.663189e+00,3.210090e+01,1.143846e+01,0.000000e+00,1.753125e+00,5.808212e+00,0.000000e+00,1.091676e+01,3.513254e+00,8.086820e+00,5.913050e+00,1.052766e+01,2.198441e+01,4.964779e+00,1.632113e+00,6.262194e+00,2.637082e+00,2.193691e-01,0.000000e+00,2.694919e+01,3.992617e+00,1.769640e+01,3.676409e+01,1.266989e+01,1.052766e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.035207e-01,2.302248e+00,4.740904e-01,5.685410e-01,2.250062e+00,2.686604e-01,2.154822e-01,5.321869e-01,1.284909e+00,5.303767e-01,3.154377e-01,5.331811e-01,3.108179e+01,1.066860e+00,3.004882e+00,2.170910e+00,3.622010e+01,4.060820e+00,5.707293e+00,7.764553e-01,9.225650e-01,3.671316e-01,3.452854e-01,9.812625e-01,1.130633e-01,5.618077e-01,9.050004e-01,1.501733e-01,3.396238e-01,1.259346e+00,2.857170e+00,4.457907e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.452913e+00,6.297705e+00,8.675135e+01,1.449738e+01,5.254638e-02,6.713867e+00,3.944431e+01,9.675348e+01,9.675348e+01,5.708408e+03,6.442043e+03,4.689410e+00,1.046017e+02,8.021183e+01,3.715200e-02,-2.418056e+00,-2.712861e+00,2.736635e+08,7.081742e+00,5.542557e-02,1.525879e-01,4.248085e+04,3.361334e+04,5.187988e+00,2.097202e-02,3.330206e-02,-6.136722e-02,2.414015e-02,8.702572e-01,5.295529e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,7.648666e-03,3.183099e+00
1,1,1,Cr,1,1.036933e-02,8.079390e-01
1,1,1,CrCH2,1,9.395482e-03,0.000000e+00
1,1,1,GABA,1,-2.302037e-04,3.183099e+00
1,1,1,GPC,1,3.150054e-03,0.000000e+00
1,1,1,GSH,1,7.442253e-03,5.906906e-02
1,1,1,Gln,1,2.360854e-02,3.183099e+00
1,1,1,Glu,1,1.043733e-02,2.629972e+00
1,1,1,Ins,1,1.543894e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,7.791732e-03,3.968180e-01
1,1,1,NAAG,1,1.697375e-02,1.812883e+00
1,1,1,PCh,1,3.000000e-02,3.183099e+00
1,1,1,PCr,1,3.483159e-03,3.438692e-01
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,8.831537e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.635602e-02,0.000000e+00
1,1,1,MM12,1,-9.799664e-04,0.000000e+00
1,1,1,MM14,1,-8.320010e-02,3.065967e+00
1,1,1,MM17,1,3.065107e-03,0.000000e+00
1,1,1,MM20,1,3.572234e-03,0.000000e+00
1,1,1,Lip09,1,-1.000000e-01,5.011191e-01
1,1,1,Lip13,1,7.891775e-02,3.890989e+00
1,1,1,Lip20,1,1.934759e-02,1.471540e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277703e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
