Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,2.251537e+01,1.011088e+01,5.439632e+00,1.254237e+01,3.610036e+00,2.493650e+00,6.121827e+00,2.896906e+01,1.066877e+01,0.000000e+00,0.000000e+00,3.185855e+00,4.835515e+00,8.556769e+00,2.469991e+00,1.280343e+01,2.611393e+00,2.634713e+01,2.140263e+01,4.148473e+00,0.000000e+00,6.971011e+00,4.456283e+00,2.134430e-01,0.000000e+00,2.555110e+01,3.610036e+00,1.708189e+01,3.509088e+01,8.556769e+00,3.118264e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.140281e-01,3.379126e+00,5.077053e-01,7.184378e-01,3.153101e+00,2.461876e-01,2.770654e-01,6.301031e-01,1.392723e+00,6.269645e-01,4.172965e-01,2.325865e+02,6.717686e+01,4.003756e+00,2.327650e+02,6.492296e+01,7.328540e+00,1.194735e+00,6.630677e+00,1.072825e+00,1.285645e+00,2.645541e-01,3.877143e-01,1.273626e+00,1.572479e-01,6.784004e-01,1.112495e+00,1.414816e-01,4.433022e-01,1.383615e+00,9.273762e-01,4.715021e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.774072e+00,5.239187e+00,8.165625e+01,1.855891e+01,5.254634e-02,6.713867e+00,4.025697e+01,1.116757e+02,1.116757e+02,5.284351e+03,6.645353e+03,4.690604e+00,1.274202e+02,1.157734e+02,4.463413e-02,3.821583e+00,1.858147e+00,2.910308e+08,7.305830e+00,5.717936e-02,1.525879e-01,4.379464e+04,4.616013e+04,5.035400e+00,2.621072e-02,3.777511e-02,-6.515059e-02,2.500340e-02,9.133319e-01,4.987681e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.441853e-03,3.183099e+00
1,1,1,Cr,1,1.264870e-02,1.793718e-01
1,1,1,CrCH2,1,1.116002e-02,0.000000e+00
1,1,1,GABA,1,9.372831e-03,3.183099e+00
1,1,1,GPC,1,9.477381e-03,1.621393e+00
1,1,1,GSH,1,6.998323e-03,3.379855e-01
1,1,1,Gln,1,2.330571e-02,3.183099e+00
1,1,1,Glu,1,1.002865e-02,1.376709e+00
1,1,1,Ins,1,1.605952e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,9.394411e-03,1.013311e-01
1,1,1,NAAG,1,1.970997e-02,3.183099e+00
1,1,1,PCh,1,1.767703e-02,4.616529e-01
1,1,1,PCr,1,-3.132109e-03,1.160666e+00
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,7.634874e-03,8.543624e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-5.041150e-03,0.000000e+00
1,1,1,MM12,1,6.804854e-02,7.076940e-01
1,1,1,MM14,1,1.093309e-02,0.000000e+00
1,1,1,MM17,1,-3.577920e-02,0.000000e+00
1,1,1,MM20,1,-2.842359e-02,0.000000e+00
1,1,1,Lip09,1,1.330527e-02,2.907320e-01
1,1,1,Lip13,1,8.825161e-03,3.582894e-01
1,1,1,Lip20,1,-2.226689e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
