Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.809844e+01,1.180040e+01,5.709609e+00,8.342495e+00,2.439876e+00,1.849441e+00,5.354767e+00,3.433967e+01,1.147420e+01,0.000000e+00,1.878492e+00,1.120037e+01,0.000000e+00,1.348239e+01,4.219013e+00,7.175989e+00,7.371859e+00,2.708924e+01,2.355035e+01,3.844053e+00,1.507522e+00,6.751212e+00,1.622142e+00,1.746750e-01,0.000000e+00,2.739440e+01,3.947397e+00,1.855161e+01,3.969443e+01,1.536089e+01,2.708924e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.147790e-01,2.245524e+00,4.063139e-01,5.280263e-01,2.081017e+00,2.687735e-01,2.002675e-01,5.341186e-01,1.323302e+00,4.763733e-01,2.839701e-01,5.002674e-01,5.001996e+00,1.297660e+00,3.112985e+00,1.036452e+01,1.774097e+00,2.648031e+00,8.575130e+00,6.172055e-01,7.320302e-01,3.592169e-01,3.401013e-01,9.080770e-01,1.052383e-01,5.492951e-01,6.414789e-01,1.340827e-01,3.009783e-01,1.251787e+00,2.896124e+00,6.444457e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.543159e+00,4.670789e+00,7.937171e+01,1.677627e+01,4.299250e-02,5.493164e+00,4.370572e+01,1.111506e+02,1.111506e+02,5.854273e+03,7.325875e+03,4.687021e+00,8.720964e+01,5.943236e+01,3.197970e-02,-4.299152e-01,5.015839e-01,2.824945e+08,7.029811e+00,5.501913e-02,1.525879e-01,3.856119e+04,4.370412e+04,4.730225e+00,1.578483e-02,2.384124e-02,-6.088751e-02,1.992819e-02,8.426460e-01,4.749754e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,7.588069e-03,2.913403e+00
1,1,1,Cr,1,9.405090e-03,7.093165e-01
1,1,1,CrCH2,1,1.044025e-02,0.000000e+00
1,1,1,GABA,1,3.072468e-04,3.183099e+00
1,1,1,GPC,1,1.246563e-03,0.000000e+00
1,1,1,GSH,1,5.215726e-03,0.000000e+00
1,1,1,Gln,1,2.379204e-02,3.183099e+00
1,1,1,Glu,1,1.175132e-02,2.161255e+00
1,1,1,Ins,1,1.237158e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,8.612529e-03,3.971040e-01
1,1,1,NAAG,1,1.562393e-02,1.233986e+00
1,1,1,PCh,1,3.000000e-02,3.065424e+00
1,1,1,PCr,1,-6.841023e-04,9.784598e-01
1,1,1,PE,1,-3.000000e-02,0.000000e+00
1,1,1,Scyllo,1,9.873389e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,2.196752e-02,0.000000e+00
1,1,1,MM12,1,7.846797e-02,0.000000e+00
1,1,1,MM14,1,-2.149074e-02,0.000000e+00
1,1,1,MM17,1,-8.567494e-02,0.000000e+00
1,1,1,MM20,1,3.696546e-02,7.551869e+00
1,1,1,Lip09,1,-1.000000e-01,4.170096e+00
1,1,1,Lip13,1,-4.036422e-02,0.000000e+00
1,1,1,Lip20,1,7.409525e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277703e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
