Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.718241e+01,1.119823e+01,5.135523e+00,8.378461e+00,2.496517e+00,3.214720e+00,4.871737e+00,3.484776e+01,1.029676e+01,0.000000e+00,3.034413e+00,7.895111e+00,3.438693e+00,1.082470e+01,3.250187e+00,1.446024e+01,6.064747e+00,8.631887e+00,2.265765e+01,3.393466e+00,1.269212e+00,6.166657e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.605112e+01,3.765730e+00,1.736489e+01,3.971950e+01,1.385911e+01,1.207058e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.758751e-01,1.955539e+00,3.655039e-01,3.970114e-01,2.333343e+00,2.215554e-01,2.217794e-01,4.509245e-01,1.079891e+00,3.969318e-01,2.217971e-01,3.502065e+00,7.203910e+01,1.636003e+00,8.277067e+00,6.335481e+01,1.607010e+01,5.679463e+00,4.011587e+00,6.389209e-01,6.311084e-01,3.015161e-01,2.768536e-01,5.948246e-01,4.281321e-02,4.290731e-01,7.051622e-01,1.161976e-01,3.129860e-01,1.125122e+00,5.624711e+00,4.829776e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.802650e+00,5.757123e+00,8.349470e+01,1.546832e+01,4.299246e-02,5.493164e+00,4.045155e+01,1.133715e+02,1.133715e+02,5.233748e+03,5.915339e+03,4.688216e+00,8.396222e+01,5.340204e+01,3.031388e-02,-4.788353e+00,-1.238750e+00,2.751244e+08,7.288445e+00,5.704330e-02,1.525879e-01,4.651033e+04,8.880120e+04,4.730225e+00,2.201457e-02,3.306078e-02,-6.237794e-02,2.017281e-02,1.019436e+00,4.784619e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,6.412212e-03,3.183099e+00
1,1,1,Cr,1,1.187366e-02,1.327927e+00
1,1,1,CrCH2,1,1.615297e-02,0.000000e+00
1,1,1,GABA,1,1.117144e-02,3.183099e+00
1,1,1,GPC,1,5.651790e-03,3.417807e-01
1,1,1,GSH,1,1.117430e-02,1.903231e+00
1,1,1,Gln,1,2.997971e-02,3.183099e+00
1,1,1,Glu,1,1.353618e-02,2.688945e+00
1,1,1,Ins,1,1.668179e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.193523e-02,6.245207e-01
1,1,1,NAAG,1,1.630204e-02,1.099761e+00
1,1,1,PCh,1,3.000000e-02,3.183099e+00
1,1,1,PCr,1,6.915681e-03,6.007667e-01
1,1,1,PE,1,-2.740459e-03,6.014271e-01
1,1,1,Scyllo,1,-4.549497e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,2.674983e-02,0.000000e+00
1,1,1,MM12,1,2.771460e-02,0.000000e+00
1,1,1,MM14,1,-4.280028e-02,0.000000e+00
1,1,1,MM17,1,-1.910119e-02,0.000000e+00
1,1,1,MM20,1,-2.065313e-02,1.932138e-01
1,1,1,Lip09,1,-4.233964e-02,1.358303e+00
1,1,1,Lip13,1,-6.351483e-02,6.379859e+00
1,1,1,Lip20,1,2.633306e-02,2.000403e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277704e+08
N,4096
TE (s),3.500000e-02
Format,jmrui_txt

TARQUIN version,4.3.11
