Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho
0,0.274205565,0.849176204,0.463586256,0.131176093,0.125695915,0.159113816,0.247351475,1.239015895,0,0.797718846,0,1.227492139,0.159557738,0.054746754,0.150823796,0.277945925,0.060376274,0.158238807,0.343261816,0.038431533,0.253822057,0.000106704,0.452307251,0.166793538,0.401578115,0.306645297,1.387049878,1.48636737,0.180442669
0,0.303164387,0.87611151,0.398307654,0.185114397,0.053162444,0.182128042,0.246210353,1.259504927,1.00E-08,0.816598233,0.097203159,1.437762825,0.117550417,0.14479417,0.12388849,0.358304035,0.045261166,0.325722559,0.349163666,0,0.418496221,0.220939515,0.338006821,0.217142063,0.216320329,0.237190002,1.555313242,1.50571528,0.197956614
0.102745596,0.31347417,0.860098557,0.400376386,0.156711554,0.037174543,0.15124284,0.270481808,1.087214232,2.90E-05,0.78692022,0.03663324,1.319779484,0.126246424,0.122750201,0.139901443,0.392691214,0.062674556,0.186234583,0.383224689,0,0.063203613,0.233860969,0.398126143,0.18113714,0.316960472,0.245401546,1.446025908,1.357696041,0.159924743
0.051798243,0.34447634,0.79143882,0.360127607,0.248687156,0.070809407,0.245255641,0.363971308,1.46890146,7.02E-05,1.03434345,0,1.874942228,0.178896011,0.144730974,0.20856118,0.386789262,0.068658982,0.382100642,0.403906471,0.141086915,0.13190756,0.321619278,0.456629161,0.245044279,0.361324086,0.355901516,2.053838239,1.832872768,0.215540381
0,0.281645024,0.864910608,0.453428564,0.215691618,0.057813436,0.174616155,0.151690613,1.087491225,6.11E-08,0.882605726,0,1.260477783,0.115346294,0.099243058,0.135089392,0.327749519,0.040596033,0.343650832,0.363805207,0.071818362,0.001332041,0.870083853,0.372985607,0.147687838,0.18121383,0.399950455,1.375824077,1.239181837,0.157056493
0.012646729,0.242776258,0.848138051,0.392603455,0.04065862,0.10718005,0.162964697,0.205750597,0.96940892,0,0.627171194,0,1.27365437,0.177945706,0.05190624,0.151861949,0.314269512,0.038242492,0.17657225,0.352214507,0,0.027646776,0.12165707,0.445027397,0.135567563,0.220988361,0.169115772,1.451600076,1.175159516,0.159086289
0.094958609,0.268552558,0.820573934,0.387021253,0.131572724,0.092359988,0.167965749,0.199001126,1.081135667,0.022688112,0.691060027,0,1.223575561,0.124257777,0.075774239,0.179426066,0.312600384,0.04167497,0.173846386,0.29391611,0,0.165158703,0.208861796,0.302366487,0.121000592,0.193595142,0.231630214,1.347833338,1.280136793,0.168134227
0.03594746,0.248731384,0.892614493,0.463644642,0.070826645,0.14696014,0.166360198,0.225002938,1.142992194,7.53E-07,0.728049212,0,1.257042429,0.136577007,0.048270628,0.107385507,0.379526935,0.059718146,0.218549045,0.414214524,0,0.086513325,0.24153627,0.489033335,0.11897275,0.21557133,0.272535765,1.393619436,1.367995132,0.195230768
0.054418738,0.258335379,0.851644122,0.377828946,0.274321376,0.090218623,0.159800452,0.25513114,1.034630861,0.032048167,0.881100958,0.041660391,1.219749302,0.190018699,0.087630958,0.148355878,0.29923074,0.050668722,0.269192507,0.426219185,0,0.190231884,0.486003682,0.449147054,0.134398068,0.368985529,0.303019007,1.409768001,1.289762001,0.177849581
0.016366631,0.319912785,0.809105194,0.362634646,0.130395922,0.110315934,0.166234856,0.211795458,1.233454513,7.83E-07,0.769210755,0,1.386049742,0.173981835,0.055930666,0.190894806,0.347733589,0.049355488,0.248367342,0.2795408,0,0.533561931,0,0.324886162,0.181725155,0.414521938,0.128703163,1.560031577,1.44524997,0.1662466
0.026384313,0.344919019,0.868671802,0.331850717,0.143316972,0.047833347,0.161854248,0.224208338,1.070740954,0,0.844562063,0,1.260545508,0.139667535,0.124483137,0.131328198,0.274144664,0.048381478,0.280111552,0.462484551,0.283983703,0,0.108238246,0.389525367,0.183019486,0.417847563,0.201343597,1.400213042,1.294949292,0.172316484
0,0.329837935,0.833265444,0.413928542,0.173556793,0.046364861,0.199160232,0.165237562,1.249488168,0,0.867301044,0.052841768,1.363460815,0.155525593,0.131472286,0.166734556,0.313823161,0.056579207,0.383025294,0.371884367,0.011565743,0.320580207,0.303589674,0.306184148,0.235671605,0.406422809,0.310912238,1.518986409,1.41472573,0.177837146
