Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,1.210789e+01,6.248930e+00,0.000000e+00,1.312814e+01,1.372595e+00,9.141232e-01,3.044175e+00,1.577699e+01,1.019325e+01,2.864317e+00,5.901661e+00,1.303931e+01,0.000000e+00,8.395826e+00,2.484763e+00,1.079419e+01,4.032919e+00,1.179496e+01,9.111875e+00,8.034017e+00,0.000000e+00,6.330482e+00,2.125648e+01,9.367532e-01,1.447608e+00,1.714589e+01,1.372595e+00,1.257941e+01,1.882116e+01,1.429749e+01,1.179496e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.369892e-01,1.601676e+00,2.419200e-01,1.818967e-01,1.599006e+00,1.542305e-01,1.403656e-01,3.307054e-01,6.017030e-01,4.715308e-01,1.560137e+00,3.681972e+00,4.384042e+01,7.997090e-01,3.068133e+00,1.943894e+01,3.701323e+01,1.073215e+01,3.810585e+00,4.170030e-01,5.538317e-01,1.390968e-01,2.924433e-01,7.711612e-01,1.434466e-01,6.487443e-01,5.356710e-01,8.357524e-02,2.231995e-01,6.924291e-01,1.939198e+00,3.134867e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.501533e+00,7.318490e+00,7.948588e+01,2.224580e+01,5.350990e-02,6.835938e+00,3.136998e+01,7.847304e+01,7.847304e+01,1.581336e-04,1.532602e-04,4.688221e+00,1.278746e+02,1.002565e+02,4.154179e-02,9.743035e+00,7.168572e+00,1.719942e+01,8.192200e+00,6.412636e-02,1.220703e-01,1.122236e+05,2.971696e-03,4.028320e+00,7.569582e-02,1.747960e-01,-1.470951e-01,-3.817258e-02,3.094085e+00,1.313612e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,1.191936e-02,3.183099e+00
1,1,1,Cr,1,1.690949e-02,0.000000e+00
1,1,1,CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,2.105184e-02,3.183099e+00
1,1,1,GPC,1,6.102557e-03,0.000000e+00
1,1,1,GSH,1,1.607028e-02,0.000000e+00
1,1,1,Gln,1,3.000000e-02,3.183099e+00
1,1,1,Glu,1,1.983507e-02,3.491474e-01
1,1,1,Ins,1,1.231176e-02,6.489853e-01
1,1,1,Lac,1,-1.688086e-02,3.183099e+00
1,1,1,NAA,1,1.853331e-02,0.000000e+00
1,1,1,NAAG,1,-1.227041e-02,3.183099e+00
1,1,1,PCh,1,-2.618506e-03,3.891531e-01
1,1,1,PCr,1,-4.497323e-03,3.183099e+00
1,1,1,PE,1,-1.137028e-03,3.183099e+00
1,1,1,Scyllo,1,2.810954e-02,3.183099e+00
1,1,1,Tau,1,7.944586e-03,0.000000e+00
1,1,1,MM09,1,7.245276e-03,0.000000e+00
1,1,1,MM12,1,7.743714e-02,0.000000e+00
1,1,1,MM14,1,1.000000e-01,0.000000e+00
1,1,1,MM17,1,2.583055e-02,0.000000e+00
1,1,1,MM20,1,5.983749e-03,0.000000e+00
1,1,1,Lip09,1,-1.000000e-01,1.097621e+01
1,1,1,Lip13,1,1.000000e-01,1.110159e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.997122\-0.0758101
ImagePositionPatient,0\45.0334\37.6622
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277509e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
