Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,4.563398e+00,9.009971e+00,0.000000e+00,8.106853e+00,7.748419e-01,1.265525e+00,2.906045e+00,1.766862e+01,5.941000e+00,0.000000e+00,0.000000e+00,4.512870e+00,0.000000e+00,5.808501e+00,1.179247e+00,6.990900e-01,2.896617e+00,1.375260e+01,1.083202e+01,4.994448e+00,1.336547e+00,2.851059e+00,1.032360e+01,2.898976e-01,0.000000e+00,1.582647e+01,2.111389e+00,1.186103e+01,2.057467e+01,5.808501e+00,1.375260e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.235861e-01,9.332883e-01,2.890823e-01,1.732395e-01,1.512027e+00,1.928960e-01,1.197190e-01,3.327258e-01,6.184187e-01,3.261657e-01,1.866149e-01,1.954052e+01,1.514472e+01,6.944880e-01,2.209584e+01,1.406561e+01,1.710125e+01,3.044955e+00,3.920220e+00,3.854092e-01,5.447798e-01,1.819460e-01,1.772481e-01,7.306191e-01,8.319196e-02,3.913533e-01,4.665334e-01,1.120321e-01,2.271810e-01,6.887078e-01,1.073468e+00,3.320200e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.686192e+00,3.865064e+00,8.604190e+01,1.202586e+01,4.204356e-02,5.371094e+00,4.721672e+01,7.961644e+01,7.961644e+01,1.399342e-04,1.383886e-04,4.686310e+00,9.766644e+01,6.330320e+01,3.300977e-02,-1.649587e+01,-3.443396e+00,1.451115e+01,8.358755e+00,6.543021e-02,1.220703e-01,1.048580e+05,2.722432e-03,4.272461e+00,1.828180e-02,3.849883e-02,-3.280417e-02,-1.241019e-02,1.913760e+00,7.610145e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.961765e-03,1.109022e+00
1,1,1,Cr,1,6.593055e-03,3.183099e+00
1,1,1,CrCH2,1,9.767268e-04,6.332918e-01
1,1,1,GABA,1,1.481488e-02,3.183099e+00
1,1,1,GPC,1,-9.887226e-03,3.183099e+00
1,1,1,GSH,1,1.064093e-02,0.000000e+00
1,1,1,Gln,1,1.871360e-02,3.183099e+00
1,1,1,Glu,1,1.219177e-02,1.731336e+00
1,1,1,Ins,1,1.414335e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.109553e-02,0.000000e+00
1,1,1,NAAG,1,-1.622561e-02,3.183099e+00
1,1,1,PCh,1,1.422170e-02,0.000000e+00
1,1,1,PCr,1,8.848443e-03,0.000000e+00
1,1,1,PE,1,6.080910e-05,3.183099e+00
1,1,1,Scyllo,1,4.516082e-03,5.278442e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,6.101904e-03,0.000000e+00
1,1,1,MM12,1,2.667322e-02,0.000000e+00
1,1,1,MM14,1,-1.000000e-01,0.000000e+00
1,1,1,MM17,1,-1.375108e-02,0.000000e+00
1,1,1,MM20,1,-2.263783e-03,0.000000e+00
1,1,1,Lip09,1,8.900956e-04,6.253816e-01
1,1,1,Lip13,1,1.000000e-01,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.99691\-0.078557
ImagePositionPatient,-6.68896\30.4314\33.8696
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277507e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
