Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,5.508215e+00,7.539919e+00,1.295252e+00,1.402141e+01,1.675056e+00,1.402702e+00,4.521401e+00,1.532047e+01,6.969299e+00,4.743843e-01,2.629826e-01,0.000000e+00,0.000000e+00,6.702636e+00,1.950288e+00,5.274509e+00,3.172332e+00,7.308228e+00,1.292034e+01,6.333432e+00,8.067078e-01,4.188139e+00,7.370091e+00,4.165388e-01,0.000000e+00,1.925377e+01,2.481764e+00,1.172806e+01,1.984188e+01,6.965618e+00,7.308228e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.750259e-01,1.617507e+00,5.555078e-01,1.098568e+00,3.305219e+00,2.668331e-01,2.543842e-01,6.036410e-01,1.188238e+00,9.202072e-01,1.641844e+00,7.114327e+01,1.522706e+01,1.071237e+00,7.270125e+01,2.498035e+01,2.323374e+01,4.578081e+00,5.361835e+00,9.538316e-01,9.426016e-01,4.756706e-01,3.116793e-01,1.706999e+00,2.012798e-01,9.879473e-01,1.165640e+00,2.673076e-01,5.463871e-01,1.445644e+00,2.958055e+00,3.838565e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.848267e+00,4.833880e+00,9.057931e+01,1.321561e+01,7.644291e-02,9.765625e+00,3.849619e+01,7.115122e+01,7.115122e+01,1.481693e-04,1.463744e-04,4.672933e+00,1.779945e+02,2.373729e+02,6.392130e-02,-1.046684e+01,-1.468667e+00,1.794544e+01,8.380716e+00,6.560218e-02,1.220703e-01,1.225996e+05,5.426548e-03,4.150391e+00,5.206872e-02,7.658117e-02,-1.484062e-01,7.105347e-02,2.937982e+00,1.094992e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,4.700813e-03,0.000000e+00
1,1,1,Cr,1,1.467937e-02,0.000000e+00
1,1,1,CrCH2,1,1.249391e-02,0.000000e+00
1,1,1,GABA,1,1.939883e-02,3.029009e+00
1,1,1,GPC,1,4.934260e-04,0.000000e+00
1,1,1,GSH,1,8.954401e-03,0.000000e+00
1,1,1,Gln,1,1.624077e-02,3.183099e+00
1,1,1,Glu,1,1.232450e-02,0.000000e+00
1,1,1,Ins,1,1.427781e-02,0.000000e+00
1,1,1,Lac,1,3.000000e-02,1.506838e+00
1,1,1,NAA,1,8.357636e-03,0.000000e+00
1,1,1,NAAG,1,-7.025161e-03,1.999146e+00
1,1,1,PCh,1,3.000000e-02,3.183099e+00
1,1,1,PCr,1,-1.277171e-02,0.000000e+00
1,1,1,PE,1,-1.579712e-02,0.000000e+00
1,1,1,Scyllo,1,4.449296e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-9.675527e-03,3.159098e+00
1,1,1,MM12,1,8.244648e-02,0.000000e+00
1,1,1,MM14,1,-3.009371e-02,0.000000e+00
1,1,1,MM17,1,-3.726679e-02,0.000000e+00
1,1,1,MM20,1,6.613242e-03,0.000000e+00
1,1,1,Lip09,1,-2.450389e-03,6.607302e-01
1,1,1,Lip13,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.998844\-0.0480657
ImagePositionPatient,-6.68896\35.4281\47.3177
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277506e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
