Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,6.305613e+00,7.299968e+00,9.626800e-01,1.056508e+01,1.140427e+00,1.198886e+00,3.898865e+00,1.824280e+01,7.407559e+00,0.000000e+00,8.908206e-02,2.529657e-01,0.000000e+00,6.402665e+00,2.226118e+00,6.044782e+00,2.119813e+00,6.953533e+00,1.053153e+01,8.135163e+00,1.113004e+00,4.597041e+00,9.167640e+00,4.668059e-01,0.000000e+00,1.866670e+01,2.253431e+00,1.189701e+01,2.214167e+01,6.491747e+00,6.953533e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.657790e-01,1.690155e+00,5.965222e-01,1.046592e+00,3.243320e+00,3.792179e-01,2.334401e-01,5.863641e-01,1.463503e+00,8.248122e-01,6.265347e-01,8.752102e+01,3.632427e+01,1.119717e+00,9.093021e+01,2.002344e+01,2.819264e+01,4.843206e+00,6.607860e+00,8.828040e-01,9.322934e-01,2.973240e-01,3.431039e-01,1.805756e+00,1.849180e-01,8.068514e-01,1.356009e+00,2.933252e-01,6.414799e-01,1.647923e+00,5.349351e+00,5.452418e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.820387e+00,5.367565e+00,9.111623e+01,1.391979e+01,7.644271e-02,9.765625e+00,3.950441e+01,7.191330e+01,7.191330e+01,1.510730e-04,1.529508e-04,4.686310e+00,1.964517e+02,2.251207e+02,6.224960e-02,-1.474963e+01,-3.304187e+00,1.841659e+01,7.134478e+00,5.584679e-02,1.220703e-01,1.204086e+05,8.078338e-02,2.441406e+00,2.141047e-02,3.549857e-02,-4.409599e-02,1.994617e-03,3.082375e+00,1.097943e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,1.468697e-02,0.000000e+00
1,1,1,Cr,1,2.863010e-02,0.000000e+00
1,1,1,CrCH2,1,8.758403e-03,0.000000e+00
1,1,1,GABA,1,2.432049e-02,3.183099e+00
1,1,1,GPC,1,1.148932e-02,3.183099e+00
1,1,1,GSH,1,2.258903e-02,0.000000e+00
1,1,1,Gln,1,1.826903e-02,3.183099e+00
1,1,1,Glu,1,2.123255e-02,1.252296e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.618132e-02,2.751539e-01
1,1,1,NAAG,1,4.730164e-03,2.903603e-02
1,1,1,PCh,1,2.797110e-02,0.000000e+00
1,1,1,PCr,1,-1.331662e-04,9.795703e-01
1,1,1,PE,1,-4.193217e-04,0.000000e+00
1,1,1,Scyllo,1,1.813394e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.440909e-02,0.000000e+00
1,1,1,MM12,1,2.960532e-02,0.000000e+00
1,1,1,MM14,1,-4.159183e-02,0.000000e+00
1,1,1,MM17,1,-1.804007e-02,0.000000e+00
1,1,1,MM20,1,1.649885e-03,0.000000e+00
1,1,1,Lip09,1,-0.000000e+00,6.366198e-01
1,1,1,Lip13,1,-7.274934e-02,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.992781\0.119937
ImagePositionPatient,-7.94314\42.1271\57.301
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277509e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
