Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,5.670754e+00,6.595894e+00,0.000000e+00,1.124014e+01,3.105073e-01,1.115695e+00,2.952182e+00,1.737178e+01,6.132847e+00,0.000000e+00,5.859065e+00,1.320805e+01,2.580327e-01,1.011666e+01,3.127006e+00,8.550874e+00,4.141583e+00,1.391190e+01,1.180133e+01,6.805052e+00,1.648349e+00,5.128288e+00,1.182321e+01,1.865696e-01,0.000000e+00,1.860638e+01,1.958856e+00,1.172418e+01,2.032396e+01,1.597572e+01,1.416993e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.220154e-01,1.077761e+00,2.525059e-01,1.612656e-01,1.606130e+00,1.862462e-01,1.400529e-01,3.188430e-01,9.740168e-01,3.618072e-01,2.337619e-01,3.929187e+00,2.384007e+01,3.180203e+00,3.378531e+00,2.209144e+01,2.823971e+01,7.329647e+00,5.850546e+00,3.995735e-01,5.732922e-01,1.936790e-01,2.574274e-01,7.347914e-01,1.081466e-01,4.547744e-01,4.999815e-01,1.395101e-01,2.768179e-01,6.978919e-01,2.672289e+00,3.916061e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.117412e+00,3.500274e+00,7.658176e+01,2.339033e+01,5.351003e-02,6.835937e+00,4.319613e+01,9.146402e+01,9.146402e+01,1.453561e-04,1.407733e-04,4.690133e+00,1.224531e+02,1.016465e+02,4.182888e-02,-1.346065e+01,-2.547592e+00,1.733572e+01,7.927383e+00,6.205359e-02,1.220703e-01,1.231464e+05,2.349304e-03,4.760742e+00,4.899680e-02,1.126875e-01,-1.095128e-01,-2.676685e-02,2.243378e+00,7.759327e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,1.047670e-02,0.000000e+00
1,1,1,Cr,1,1.537578e-02,4.214336e-01
1,1,1,CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,1.831925e-02,3.183099e+00
1,1,1,GPC,1,-1.283781e-02,2.672812e+00
1,1,1,GSH,1,1.483236e-02,0.000000e+00
1,1,1,Gln,1,1.916317e-02,3.183099e+00
1,1,1,Glu,1,1.475857e-02,1.080602e+00
1,1,1,Ins,1,1.721466e-02,0.000000e+00
1,1,1,Lac,1,2.917415e-03,6.631741e-01
1,1,1,NAA,1,1.376348e-02,0.000000e+00
1,1,1,NAAG,1,-1.343982e-02,3.183099e+00
1,1,1,PCh,1,1.457998e-02,0.000000e+00
1,1,1,PCr,1,-2.402715e-04,2.793992e+00
1,1,1,PE,1,-8.537278e-03,1.465452e+00
1,1,1,Scyllo,1,-2.755043e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,7.455235e-03,0.000000e+00
1,1,1,MM12,1,3.655161e-02,0.000000e+00
1,1,1,MM14,1,1.980904e-02,0.000000e+00
1,1,1,MM17,1,-3.390401e-02,0.000000e+00
1,1,1,MM20,1,1.726013e-02,2.100775e+00
1,1,1,Lip09,1,-1.000000e-01,1.369487e+01
1,1,1,Lip13,1,5.598178e-02,3.497815e+00
1,1,1,Lip20,1,2.304912e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.989256\-0.146191
ImagePositionPatient,-3.34448\32.1137\31.7993
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277506e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
