Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,3.969727e+00,1.009840e+01,0.000000e+00,3.920275e+00,9.267400e-01,1.195298e+00,3.165951e+00,1.991792e+01,7.003496e+00,3.071231e+00,1.340097e+01,1.600625e+01,0.000000e+00,0.000000e+00,0.000000e+00,9.786811e+00,1.733746e+00,2.308883e+01,1.517083e+01,2.395736e+00,1.716977e+00,3.478622e+00,8.505959e+00,2.630419e-01,0.000000e+00,1.756657e+01,2.643717e+00,1.357702e+01,2.308388e+01,1.340097e+01,2.308883e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.182827e-01,7.320877e-01,2.479205e-01,1.358751e-01,1.238979e+00,1.748091e-01,1.055632e-01,3.065634e-01,6.920908e-01,2.561517e-01,9.136896e-01,2.420964e+01,1.636117e+01,9.116870e-01,2.206360e+01,1.371876e+01,7.929728e+00,5.832539e+00,8.731319e+00,2.666825e-01,3.545130e-01,1.566784e-01,1.456787e-01,5.007070e-01,5.629880e-02,3.008710e-01,2.675461e-01,7.936035e-02,1.832348e-01,7.229091e-01,9.592281e-01,4.032010e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.547861e+00,6.138772e+00,7.315626e+01,2.215244e+01,3.439932e-02,4.394531e+00,3.569396e+01,9.094325e+01,9.094325e+01,1.534187e-04,1.545813e-04,4.685355e+00,6.246032e+01,4.068697e+01,2.646414e-02,-1.060174e+01,-1.348328e+00,1.655789e+01,6.990717e+00,5.472163e-02,1.220703e-01,1.071144e+05,1.614700e-03,5.126953e+00,5.306426e-02,8.854384e-02,-1.219911e-01,5.766579e-03,1.569164e+00,8.746214e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,-3.960892e-03,8.788991e-01
1,1,1,Cr,1,-8.675559e-04,3.180546e+00
1,1,1,CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,7.648460e-03,3.183099e+00
1,1,1,GPC,1,-1.539132e-02,3.183099e+00
1,1,1,GSH,1,3.224208e-03,0.000000e+00
1,1,1,Gln,1,1.871060e-02,3.183099e+00
1,1,1,Glu,1,6.612570e-03,1.444420e+00
1,1,1,Ins,1,5.933708e-03,0.000000e+00
1,1,1,Lac,1,2.463855e-02,3.183099e+00
1,1,1,NAA,1,5.576544e-03,5.002188e-01
1,1,1,NAAG,1,3.000000e-02,2.750329e+00
1,1,1,PCh,1,5.765493e-03,0.000000e+00
1,1,1,PCr,1,2.600970e-03,0.000000e+00
1,1,1,PE,1,8.356641e-03,8.841978e-01
1,1,1,Scyllo,1,7.269566e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,1.356125e-02,4.601091e-01
1,1,1,MM14,1,-6.384816e-03,0.000000e+00
1,1,1,MM17,1,-6.112146e-02,0.000000e+00
1,1,1,MM20,1,8.583096e-02,1.340754e+01
1,1,1,Lip09,1,2.389617e-03,3.594215e+00
1,1,1,Lip13,1,-3.495812e-02,0.000000e+00
1,1,1,Lip20,1,5.223979e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,0.997527\-0.0401046\0.0577145\0.0347276\0.995215\0.0913288
ImagePositionPatient,-2.95766\24.6285\45.1747
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277505e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
