Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,5.510024e+00,8.805382e+00,7.476892e-01,5.406035e+00,1.551393e+00,2.482147e+00,3.137644e+00,2.159539e+01,8.326811e+00,0.000000e+00,4.997381e+00,5.352797e+00,3.198108e+00,0.000000e+00,0.000000e+00,2.834849e-01,1.170331e+00,1.105533e+01,1.059243e+01,4.651467e+00,2.313291e-01,3.206048e+00,1.155709e+01,8.111348e-02,0.000000e+00,1.524390e+01,1.782723e+00,1.201143e+01,2.473304e+01,4.997381e+00,1.425344e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.269675e-01,1.289572e+00,2.607650e-01,2.777412e-01,1.272156e+00,1.495690e-01,1.740197e-01,3.177421e-01,8.237245e-01,2.998758e-01,1.579862e-01,3.062881e+01,1.536268e+01,3.462691e+00,3.038314e+01,1.359771e+00,1.583847e+01,2.696720e+00,5.576079e+00,3.646550e-01,4.702217e-01,1.561857e-01,1.795861e-01,7.313779e-01,6.140371e-02,3.234986e-01,3.611715e-01,7.627867e-02,2.155650e-01,7.119824e-01,4.934089e-01,2.256998e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.821721e+00,3.743410e+00,8.745403e+01,1.139022e+01,3.822148e-02,4.882812e+00,4.635942e+01,8.445394e+01,8.445394e+01,1.452719e-04,1.438317e-04,4.692044e+00,8.399737e+01,5.023864e+01,2.940690e-02,-4.697142e+00,-3.334913e-01,1.534775e+01,7.633587e+00,5.975388e-02,1.220703e-01,1.067064e+05,3.131912e-03,5.004883e+00,1.935277e-02,3.454710e-02,-5.895448e-02,1.772475e-02,2.080959e+00,7.635632e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,6.040892e-03,1.781725e+00
1,1,1,Cr,1,6.898042e-03,2.789329e+00
1,1,1,CrCH2,1,2.108650e-02,0.000000e+00
1,1,1,GABA,1,1.751518e-02,3.183099e+00
1,1,1,GPC,1,6.141463e-03,6.044596e-01
1,1,1,GSH,1,1.366412e-02,2.254259e+00
1,1,1,Gln,1,2.108133e-02,3.183099e+00
1,1,1,Glu,1,1.293429e-02,2.126647e+00
1,1,1,Ins,1,1.322539e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.218918e-02,0.000000e+00
1,1,1,NAAG,1,-2.392394e-02,3.183099e+00
1,1,1,PCh,1,1.583747e-02,0.000000e+00
1,1,1,PCr,1,8.846089e-03,0.000000e+00
1,1,1,PE,1,-2.080804e-02,3.183099e+00
1,1,1,Scyllo,1,1.485541e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,-0.000000e+00,6.366198e-01
1,1,1,MM14,1,-3.252450e-02,7.147991e-01
1,1,1,MM17,1,-2.366167e-02,0.000000e+00
1,1,1,MM20,1,-1.032565e-02,0.000000e+00
1,1,1,Lip09,1,1.022787e-02,0.000000e+00
1,1,1,Lip13,1,7.892025e-02,1.943624e+00
1,1,1,Lip20,1,1.787292e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,0.99824\0.0592997\8.81848e-12\-0.0592909\0.998092\-0.0172106
ImagePositionPatient,-5.79845\26.2209\43.5151
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277505e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
