Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.993617e-01,4.367407e+00,9.873766e+00,0.000000e+00,9.011175e+00,2.003605e+00,1.720349e+00,4.244462e+00,1.854624e+01,7.205396e+00,1.167826e+00,9.611983e-01,4.212550e+00,0.000000e+00,4.946066e+00,1.424008e+00,7.997987e+00,2.338043e+00,1.089032e+01,1.198518e+01,4.583295e+00,8.818675e-02,3.412339e+00,1.238783e+01,3.473830e-01,0.000000e+00,1.656847e+01,2.091791e+00,1.328611e+01,2.279071e+01,5.907264e+00,1.089032e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.951177e-01,6.442476e-01,2.285732e-01,1.169828e-01,1.086052e+00,1.026903e-01,1.341432e-01,2.619342e-01,4.833511e-01,2.367386e-01,5.936488e-01,3.950189e+01,2.097762e+01,5.642940e-01,3.889835e+01,2.233360e+01,7.202674e+00,3.252386e+00,2.996420e+00,3.082333e-01,4.451702e-01,9.432133e-02,1.464933e-01,5.809779e-01,5.931363e-02,2.712069e-01,3.466987e-01,7.156029e-02,1.771972e-01,5.535665e-01,2.541058e+00,2.649337e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.205771e+00,3.446361e+00,8.702809e+01,1.159831e+01,4.586572e-02,5.859375e+00,4.894022e+01,1.079509e+02,1.079509e+02,1.221629e-04,1.233632e-04,4.681533e+00,2.290806e+01,6.701372e+01,3.396344e-02,-1.750506e+01,-4.626469e+00,1.670669e+01,7.544454e+00,5.905610e-02,1.220703e-01,1.354268e+05,6.247232e-03,4.272461e+00,2.788394e-02,3.938910e-02,-9.402254e-02,3.317474e-02,2.611499e+00,6.938546e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,3.000000e-02,0.000000e+00
1,1,1,Asp,1,6.213394e-03,3.951937e-01
1,1,1,Cr,1,1.411693e-03,2.504244e+00
1,1,1,CrCH2,1,3.000000e-02,4.783037e-01
1,1,1,GABA,1,1.083520e-02,3.183099e+00
1,1,1,GPC,1,1.379542e-03,6.280164e-01
1,1,1,GSH,1,8.315349e-03,9.833045e-01
1,1,1,Gln,1,1.009910e-02,3.183099e+00
1,1,1,Glu,1,8.207405e-03,1.407928e+00
1,1,1,Ins,1,9.794922e-03,0.000000e+00
1,1,1,Lac,1,1.582015e-02,6.711538e-01
1,1,1,NAA,1,6.570013e-03,0.000000e+00
1,1,1,NAAG,1,-2.162293e-02,3.183099e+00
1,1,1,PCh,1,-3.000000e-02,0.000000e+00
1,1,1,PCr,1,4.736083e-03,0.000000e+00
1,1,1,PE,1,-1.949681e-03,3.183099e+00
1,1,1,Scyllo,1,7.707626e-03,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.334914e-02,0.000000e+00
1,1,1,MM12,1,3.717079e-02,1.654722e+00
1,1,1,MM14,1,-2.837507e-02,0.000000e+00
1,1,1,MM17,1,-4.053973e-02,0.000000e+00
1,1,1,MM20,1,-3.025157e-03,0.000000e+00
1,1,1,Lip09,1,-1.634088e-03,1.025025e+00
1,1,1,Lip13,1,-2.874057e-02,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.997714\0.0675731
ImagePositionPatient,-0.83612\39.2709\49.6254
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277506e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
