Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,6.001652e+00,8.846264e+00,1.483022e+00,9.044263e+00,1.940527e+00,2.029325e+00,4.067626e+00,2.041061e+01,7.541160e+00,0.000000e+00,2.845034e+00,5.247608e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.737013e+00,9.900446e-01,6.681215e+00,1.202996e+01,6.195012e+00,2.286114e-01,4.274050e+00,1.045969e+01,5.519186e-01,0.000000e+00,1.822497e+01,2.169138e+00,1.312031e+01,2.447824e+01,2.845034e+00,6.681215e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.290115e-01,9.047516e-01,3.480055e-01,4.962376e-01,1.397940e+00,2.876022e-01,1.823114e-01,3.298238e-01,7.340483e-01,3.903114e-01,2.850553e-01,4.249637e+01,2.544302e+01,7.574629e-01,4.241017e+01,3.483361e+00,3.872250e+01,1.265728e+01,3.852241e+00,4.285517e-01,6.038914e-01,3.420729e-01,2.589825e-01,7.278488e-01,8.971299e-02,3.859315e-01,5.238163e-01,1.004822e-01,2.561532e-01,8.193526e-01,4.992382e-01,2.296270e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.824781e+00,4.708206e+00,9.199066e+01,8.970428e+00,6.115438e-02,7.812500e+00,3.835265e+01,6.998520e+01,6.998520e+01,1.611434e-04,1.405156e-04,4.689177e+00,1.255051e+02,1.281738e+02,4.697102e-02,-1.182763e+01,-2.828839e+00,1.766739e+01,7.446988e+00,5.829324e-02,1.220703e-01,1.257326e+05,4.608438e-03,4.882812e+00,1.939434e-02,2.982590e-02,-3.350864e-02,-2.675360e-03,2.147374e+00,9.545643e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,1.084872e-02,0.000000e+00
1,1,1,Cr,1,1.405807e-02,1.133112e+00
1,1,1,CrCH2,1,1.006107e-02,0.000000e+00
1,1,1,GABA,1,1.226060e-02,3.183099e+00
1,1,1,GPC,1,9.225657e-03,1.354658e-01
1,1,1,GSH,1,1.484987e-02,1.410358e+00
1,1,1,Gln,1,2.985282e-02,2.765088e+00
1,1,1,Glu,1,1.453149e-02,1.378346e+00
1,1,1,Ins,1,1.833958e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.220911e-02,7.379898e-01
1,1,1,NAAG,1,-9.306509e-03,2.807226e+00
1,1,1,PCh,1,1.137900e-02,5.663774e-01
1,1,1,PCr,1,4.197940e-03,6.459488e-01
1,1,1,PE,1,-4.339444e-03,0.000000e+00
1,1,1,Scyllo,1,1.274274e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-2.899257e-03,5.714329e-01
1,1,1,MM12,1,-0.000000e+00,6.366198e-01
1,1,1,MM14,1,1.629985e-02,6.519891e-01
1,1,1,MM17,1,-6.638318e-02,0.000000e+00
1,1,1,MM20,1,2.584726e-02,0.000000e+00
1,1,1,Lip09,1,1.084155e-02,0.000000e+00
1,1,1,Lip13,1,2.764527e-02,3.313206e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.982517\-0.186171
ImagePositionPatient,-1.25418\34.8896\44.1037
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277505e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
