Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,9.302323e+00,9.511174e+00,0.000000e+00,1.228393e+01,3.029018e-02,1.537517e+00,2.888516e+00,1.590147e+01,9.248262e+00,2.075435e+00,0.000000e+00,3.264322e+00,1.835927e+00,3.969593e+00,1.209163e+00,9.881567e+00,2.553031e+00,1.088350e+01,1.113808e+01,8.182456e+00,1.660480e+00,3.590814e+00,1.911615e+01,7.520185e-01,0.000000e+00,1.932053e+01,1.690770e+00,1.310199e+01,1.878999e+01,3.969593e+00,1.271943e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.076505e-01,1.292835e+00,2.553930e-01,1.414273e-01,1.244330e+00,1.488482e-01,1.043057e-01,2.832813e-01,5.961975e-01,2.885969e-01,8.401633e-01,7.482890e+00,2.134105e+01,2.508142e+00,9.676862e+00,2.306187e+01,6.607044e+00,4.006702e+00,5.219481e+00,3.554334e-01,4.536776e-01,1.481964e-01,1.588656e-01,7.054566e-01,9.506364e-02,3.039070e-01,3.641672e-01,8.535340e-02,2.153284e-01,6.077581e-01,9.641481e-01,2.422360e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.789546e+00,5.820008e+00,8.730841e+01,9.507771e+00,4.586555e-02,5.859375e+00,3.893204e+01,1.086027e+02,1.086027e+02,1.389007e-04,1.385664e-04,4.686310e+00,8.611147e+01,6.432613e+01,3.327529e-02,-2.756247e-01,6.549472e-01,1.746521e+01,7.589825e+00,5.941103e-02,1.220703e-01,1.260421e+05,2.724445e-03,4.638672e+00,3.179856e-02,7.012143e-02,-5.796097e-02,-2.912418e-02,2.239077e+00,9.854920e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,2.923090e-03,6.377440e-01
1,1,1,Asp,1,1.294459e-03,2.273322e+00
1,1,1,Cr,1,-1.534289e-03,3.183099e+00
1,1,1,CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,1.898548e-02,3.183099e+00
1,1,1,GPC,1,-5.968123e-03,1.279543e+00
1,1,1,GSH,1,5.079631e-03,0.000000e+00
1,1,1,Gln,1,2.335986e-02,3.183099e+00
1,1,1,Glu,1,9.884360e-03,4.716464e-01
1,1,1,Ins,1,8.750740e-03,0.000000e+00
1,1,1,Lac,1,1.677632e-02,1.860849e+00
1,1,1,NAA,1,1.041529e-02,0.000000e+00
1,1,1,NAAG,1,-3.000000e-02,3.183099e+00
1,1,1,PCh,1,5.516379e-03,0.000000e+00
1,1,1,PCr,1,3.183001e-03,0.000000e+00
1,1,1,PE,1,-4.302222e-03,3.183099e+00
1,1,1,Scyllo,1,1.503784e-02,2.648851e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.614572e-02,0.000000e+00
1,1,1,MM12,1,2.463685e-02,0.000000e+00
1,1,1,MM14,1,-1.259383e-02,0.000000e+00
1,1,1,MM17,1,-5.483821e-02,0.000000e+00
1,1,1,MM20,1,-5.190979e-03,0.000000e+00
1,1,1,Lip09,1,-0.000000e+00,6.366198e-01
1,1,1,Lip13,1,-4.842692e-02,0.000000e+00
1,1,1,Lip20,1,4.997929e-02,3.075627e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.992418\0.122912
ImagePositionPatient,-4.59866\51.2943\60.6254
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277511e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
