Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,5.122353e-01,6.514219e+00,7.376761e+00,2.360977e-01,8.545603e+00,1.625471e+00,1.177516e+00,2.564073e+00,1.842430e+01,6.080339e+00,1.165967e+00,6.446207e-01,0.000000e+00,0.000000e+00,7.362824e+00,1.635831e+00,1.013034e+01,3.322870e+00,4.885774e+00,1.027720e+01,8.274147e+00,3.317126e-01,3.886369e+00,7.750832e+00,2.284283e-01,0.000000e+00,1.855135e+01,1.957184e+00,1.126313e+01,2.098837e+01,8.007444e+00,4.885774e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,2.206112e-01,8.777256e-01,2.924330e-01,4.541658e-01,1.567880e+00,1.388688e-01,1.361285e-01,2.419036e-01,7.864165e-01,3.427634e-01,1.026497e+00,2.601486e+01,1.702867e+01,7.264908e-01,2.642490e+01,1.787023e+01,1.836509e+01,2.397104e+00,3.594888e+00,4.228896e-01,4.579663e-01,1.684644e-01,2.220000e-01,9.833176e-01,1.155992e-01,3.769520e-01,5.504757e-01,9.300343e-02,2.702603e-01,8.282578e-01,2.335211e+00,2.996929e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.099545e+00,7.124351e+00,8.936134e+01,1.437588e+01,4.968786e-02,6.347656e+00,3.228075e+01,6.777489e+01,6.777489e+01,1.589709e-04,1.466675e-04,4.682488e+00,4.562385e+01,6.839646e+01,3.431205e-02,-2.059428e+01,-6.346542e+00,1.491440e+01,7.935085e+00,6.211386e-02,1.220703e-01,1.016885e+05,5.746869e-03,4.028320e+00,1.828408e-02,2.894133e-02,-4.014250e-02,9.788259e-03,2.694045e+00,1.046616e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,8.909825e-03,0.000000e+00
1,1,1,Asp,1,4.611502e-03,4.705783e-01
1,1,1,Cr,1,-5.615973e-03,2.734599e+00
1,1,1,CrCH2,1,-2.008652e-02,1.299423e+00
1,1,1,GABA,1,1.877567e-02,3.183099e+00
1,1,1,GPC,1,4.487036e-03,0.000000e+00
1,1,1,GSH,1,1.244922e-02,5.120363e-01
1,1,1,Gln,1,1.100481e-02,0.000000e+00
1,1,1,Glu,1,7.881525e-03,1.533311e+00
1,1,1,Ins,1,8.164893e-03,0.000000e+00
1,1,1,Lac,1,1.198767e-02,2.357004e+00
1,1,1,NAA,1,-4.223909e-03,2.632678e+00
1,1,1,NAAG,1,-2.104882e-02,0.000000e+00
1,1,1,PCh,1,-2.455805e-02,0.000000e+00
1,1,1,PCr,1,5.461397e-03,0.000000e+00
1,1,1,PE,1,-3.994646e-03,3.183099e+00
1,1,1,Scyllo,1,-2.256925e-03,1.773720e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,9.547190e-03,8.143355e-01
1,1,1,MM12,1,1.000000e-01,1.391321e+00
1,1,1,MM14,1,-3.702810e-02,4.803065e-01
1,1,1,MM17,1,-4.319722e-02,0.000000e+00
1,1,1,MM20,1,5.912070e-03,0.000000e+00
1,1,1,Lip09,1,6.120862e-03,0.000000e+00
1,1,1,Lip13,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\3.000000e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,1\0\0\0\0.989973\-0.141258
ImagePositionPatient,-5.43478\46.6555\13.0569
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277506e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
