Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,4.768163e+00,1.051706e+01,0.000000e+00,7.829530e+00,1.701492e+00,1.792505e+00,3.020790e+00,2.134417e+01,7.373912e+00,2.189003e+00,6.803659e+00,1.895173e+01,6.095828e+00,0.000000e+00,0.000000e+00,1.417250e+01,1.665398e+00,1.158774e+01,9.375833e+00,6.416372e+00,1.425376e-01,3.920186e+00,1.073980e+01,0.000000e+00,0.000000e+00,1.579220e+01,1.844029e+00,1.443725e+01,2.436496e+01,6.803659e+00,1.768356e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.207514e-01,8.646587e-01,3.062375e-01,1.444977e-01,1.390942e+00,1.002587e-01,1.311274e-01,3.297356e-01,6.738168e-01,2.702021e-01,1.094002e+00,3.250167e+00,2.290864e+01,2.748883e+00,2.441824e+00,1.798154e+01,1.299225e+01,6.847788e+00,4.909394e+00,3.939553e-01,5.638311e-01,1.217704e-01,1.747415e-01,6.982752e-01,3.913800e-02,3.364154e-01,4.013034e-01,8.398033e-02,2.396472e-01,6.952893e-01,6.547994e-01,2.307526e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.065503e+00,4.428390e+00,7.522294e+01,2.846999e+01,4.586566e-02,5.859375e+00,4.125225e+01,8.520666e+01,8.520666e+01,1.482887e-04,1.469844e-04,4.682488e+00,8.580390e+01,5.982036e+01,3.208882e-02,-6.500481e+00,-1.959424e+00,1.625980e+01,7.749844e+00,6.066376e-02,1.220703e-01,1.106227e+05,3.068886e-03,4.272461e+00,5.179369e-02,8.048243e-02,-1.151133e-01,2.220543e-02,1.476018e+00,8.307758e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.683665e-03,0.000000e+00
1,1,1,Cr,1,-6.452728e-04,3.084998e+00
1,1,1,CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,1.486180e-02,3.183099e+00
1,1,1,GPC,1,2.151669e-03,0.000000e+00
1,1,1,GSH,1,5.194249e-03,9.347934e-01
1,1,1,Gln,1,1.664277e-02,3.183099e+00
1,1,1,Glu,1,7.269884e-03,1.801391e+00
1,1,1,Ins,1,8.127820e-03,0.000000e+00
1,1,1,Lac,1,3.000000e-02,3.183099e+00
1,1,1,NAA,1,3.947359e-03,2.066271e-01
1,1,1,NAAG,1,-2.481780e-02,3.183099e+00
1,1,1,PCh,1,-2.861483e-02,0.000000e+00
1,1,1,PCr,1,3.377947e-03,0.000000e+00
1,1,1,PE,1,-1.736809e-02,3.183099e+00
1,1,1,Scyllo,1,-2.807813e-03,6.230615e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,1.116301e-02,4.275717e-01
1,1,1,MM14,1,-5.579669e-03,0.000000e+00
1,1,1,MM17,1,-8.851284e-02,0.000000e+00
1,1,1,MM20,1,-2.942937e-02,7.655139e-02
1,1,1,Lip09,1,-3.029055e-02,2.664790e+00
1,1,1,Lip13,1,-2.409199e-02,0.000000e+00
1,1,1,Lip20,1,-1.062772e-02,0.000000e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,3.000000e+01\2.916388e+01
SliceThickness,3.000000e+01
ImageOrientationPatient,0.987178\0.142429\-0.0720718\-0.143183\0.989682\-0.00538556
ImagePositionPatient,-9.06471\37.6045\19.3593
VoiDim,Unknown
Data parameters
Fs (Hz),2.000000e+03
Ft (Hz),1.277508e+08
N,2048
TE (s),3.500000e-02
Format,philips

TARQUIN version,4.3.11
