Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho
0,0.274483312,0.572047381,0,0.066928482,0.08614086,0.144644045,0,1.296700966,0,1.057132754,0.14968517,1.289688345,0.178637957,0.094160124,0.427952619,0.009890478,0.013581488,0.242744418,0.008708674,0.795044153,0.83631723,0,0,0.311333355,0.93775307,0.105010948,1.468326302,1.296700966,0.180300984
0,0.347259757,0.802297803,0.118281546,0.171606042,0.089085969,0.221176042,0.136337813,1.098083023,0.013937899,0.845978192,0.003717015,1.540216091,0.183140474,0.112279592,0.197702197,0.346135899,0.049921352,0.221619624,0.320178786,0,0.181375755,0.099732279,0.321809308,0.237742606,0.448626885,0.164060468,1.723356565,1.234420836,0.201365561
0,0.197806331,0.716575061,0.274309776,0.093301973,0.163637628,0.173184245,0,1.339532224,0.046522154,0.979786776,0.121919388,1.423048091,0.179778559,0.005012494,0.283424939,0.254116058,0.045878152,0.341302351,0.038666345,0.556660747,0.686546246,0,0,0.122732848,0.366321588,0.003580111,1.60282665,1.339532224,0.168650122
0.10307552,0.581624096,1,0.047331846,0.16171779,0.09532972,0.107704845,0.543957344,0.942566388,0,0.68239355,0,1.38031702,0.350001898,0.109822821,0,0.645579008,0.053942328,0,0.571597918,0,0.351685404,1.037266512,1.035379678,0.064236041,0.064089088,0.023706356,1.730318919,1.486523733,0.205152541
0,0.420649439,0.707063047,0.047710537,0.07164194,0.064193342,0.186916433,0,1.213477652,4.01E-08,0.872823943,0.150604606,1.536899595,0.155577502,0.126777007,0.292936953,0.250620488,0.031961499,0.40738087,0.07703741,0.860489623,0.937781148,0,0,0.357800423,0.973692,0,1.692477098,1.213477652,0.190970349
0,0.393027581,0.691633454,0.092763722,0.109646464,0.065483372,0.169390927,0.093909716,1.288522887,4.31E-06,1.011776119,0,1.422775692,0.149949379,0.149893871,0.308366546,0.386060152,0.045290485,0.237902892,0.084392549,1.511304047,0.560111732,0,0.000192911,0.501935011,1.227172923,0,1.57272507,1.382432603,0.215377243
0,0.301131693,0.774592902,0.118985563,0.102316425,0.080296334,0.208613382,0.14828972,1.218729081,0.040638918,0.999995512,0.032004034,1.422944407,0.123573815,0.109075302,0.225407098,0.260850315,0.03500336,0.361905898,0.197826801,0.085590434,0.187108641,0.007005812,0.201350666,0.196388844,0.411750846,0.183026899,1.546518222,1.3670188,0.189371636
0,0.305812312,0.727532844,0.099796249,0.181788874,0.063168295,0.171214722,0.049890823,1.041464863,0.001804694,0.761583302,0.053180215,1.360183669,0.087828963,0.108012767,0.272467156,0.518439097,0.060658642,0.190975046,0.19488343,0.232365404,0.341318016,0,0.101784813,0.216849093,0.558486041,0.020953085,1.448012632,1.091355686,0.171181061
0,0.292146515,0.662345399,0.176907427,0.136056519,0.122285637,0.194339188,0,1.172544349,0.000233481,0.817995254,0.060468389,1.18922073,0.114367298,0.065332428,0.337654601,0.439123874,0.074727043,0.332279419,0.061843993,0.300518,0.400546913,0,0,0.106165789,0.285539181,0.099316218,1.303588028,1.172544349,0.187618065
0,0.42579242,0.689684027,0.122521115,0.152979156,0.093722048,0.189916229,0.243492018,1.133943374,2.29E-05,0.981991802,0.045877964,1.489664151,0.169771765,0.093948023,0.310315973,0.283402139,0.035716475,0.182058832,0.271517471,0.103383623,0.348231197,0,0.320246838,0.1328853,0.42525318,0.169360698,1.659435916,1.377435393,0.187670071
0.046746881,0.368177002,0.74263137,0.191777438,0.181812407,0.100357489,0.183671546,0.168535031,1.160368551,2.38E-05,0.820635826,0.188104966,1.522825401,0.082128483,0.07678738,0.25736863,0.444752719,0.035331184,0.235836527,0.368764005,0,0.559281408,0.005786748,0.315275601,0.261413235,0.473819191,0.116402936,1.604953884,1.328903582,0.177144869
0,0.447751492,0.680525033,0.04082708,0.011368208,0.081423341,0.185173975,0,1.282197763,2.26E-06,0.883492885,0.135110811,1.236483768,0.131771845,0.080254953,0.319474967,0.218918608,0.024549427,0.360563541,0,1.370987999,1.296137552,0,0,0.177736067,0.911632532,0,1.368255613,1.282197763,0.161678294
