Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,4.122051e+00,7.306797e+00,1.720853e+00,4.090120e+00,2.787311e+00,3.392684e+00,3.740651e+00,2.475332e+01,8.537509e+00,0.000000e+00,1.647453e-01,1.173860e+00,0.000000e+00,7.248557e+00,2.005970e+00,7.774730e+00,3.124158e+00,9.595260e+00,1.724647e+01,2.566519e+00,0.000000e+00,5.069293e+00,5.242465e+00,0.000000e+00,0.000000e+00,1.981299e+01,2.787311e+00,1.237609e+01,2.849398e+01,7.413303e+00,9.595260e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,7.998574e-02,5.312783e-01,1.750694e-01,1.770905e-01,9.850356e-01,5.746653e-02,1.084215e-01,1.944227e-01,4.910394e-01,1.799668e-01,1.091542e-01,9.363225e+01,3.204107e+02,6.246561e-01,9.642256e+01,2.995124e+02,2.523488e+01,2.672743e+00,2.149406e+00,2.871129e-01,3.945726e-01,3.486641e-02,1.431437e-01,4.572853e-01,2.178874e-02,1.825272e-01,3.115687e-01,4.124805e-02,1.374556e-01,4.846911e-01,4.334177e+00,2.080429e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,3.827279e+00,5.326093e+00,8.874660e+01,1.136326e+01,3.962025e-02,4.882812e+00,5.015524e+01,1.919581e+02,1.919581e+02,5.160575e-08,7.330869e-08,4.707449e+00,6.645200e+01,4.233738e+01,2.798350e-02,4.719572e+00,-2.403755e+00,7.150456e-03,7.299935e+00,5.923333e-02,2.563477e+00,9.753899e+04,3.404772e-06,7.080078e+00,1.320133e-02,1.912815e-02,-2.839931e-02,1.974936e-02,2.869092e+00,4.546190e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,3.000000e-02,0.000000e+00
1,1,1,Cr,1,2.533017e-02,1.136606e+00
1,1,1,CrCH2,1,2.260407e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,2.520051e-02,1.199378e+00
1,1,1,GSH,1,2.987240e-02,2.226289e+00
1,1,1,Gln,1,3.000000e-02,3.183099e+00
1,1,1,Glu,1,2.858935e-02,2.032458e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.506144e-02,5.993112e-01
1,1,1,NAAG,1,2.401989e-02,3.183099e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,2.460154e-02,1.121135e+00
1,1,1,PE,1,-2.079927e-02,8.984198e-01
1,1,1,Scyllo,1,-5.167110e-07,6.366864e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.733492e-02,0.000000e+00
1,1,1,MM12,1,5.500255e-03,0.000000e+00
1,1,1,MM14,1,-2.678713e-02,0.000000e+00
1,1,1,MM17,1,-7.075331e-03,0.000000e+00
1,1,1,MM20,1,-4.000125e-02,0.000000e+00
1,1,1,Lip09,1,3.733477e-04,6.311896e-01
1,1,1,Lip13,1,-2.780065e-02,2.658666e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
