Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,3.431415e+00,8.423286e+00,1.535258e+00,8.183998e+00,1.819391e+00,2.462341e+00,4.554767e+00,2.255968e+01,9.977185e+00,0.000000e+00,1.057266e+00,1.837594e+00,0.000000e+00,5.333301e+00,1.678115e+00,3.013048e+00,2.588619e+00,1.078660e+01,1.721590e+01,3.110684e+00,1.118495e+00,4.675517e+00,3.533754e+00,4.835084e-01,0.000000e+00,2.032658e+01,2.937886e+00,1.309880e+01,2.711444e+01,6.390567e+00,1.078660e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.247443e-01,8.638525e-01,2.904865e-01,3.697250e-01,1.555273e+00,2.707296e-01,1.741725e-01,2.789591e-01,7.518725e-01,2.820358e-01,1.885890e-01,3.532641e+02,1.941691e+02,9.080041e-01,3.540815e+02,1.858478e+02,1.476199e+01,4.223051e+00,3.802018e+00,4.503330e-01,5.118845e-01,2.748937e-01,2.137682e-01,8.004424e-01,1.488140e-01,3.013006e-01,5.046522e-01,1.057463e-01,2.083098e-01,7.574878e-01,4.244356e+00,3.427718e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,4.001318e+00,8.399496e+00,8.959724e+01,1.085563e+01,5.150634e-02,6.347656e+00,3.790564e+01,1.516725e+02,1.516725e+02,5.593638e-08,8.869507e-08,4.707449e+00,8.925321e+01,7.187768e+01,3.646172e-02,4.804731e+00,2.460564e+00,6.852478e-03,8.039958e+00,6.523806e-02,2.563477e+00,7.725883e+04,1.177299e-05,7.080078e+00,3.930938e-02,6.590675e-02,-5.785874e-02,1.129107e-02,3.059021e+00,5.744341e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.810996e-02,0.000000e+00
1,1,1,Cr,1,3.000000e-02,1.394788e+00
1,1,1,CrCH2,1,1.935285e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,3.000000e-02,1.491690e+00
1,1,1,GSH,1,3.000000e-02,1.783155e+00
1,1,1,Gln,1,2.882825e-02,3.183099e+00
1,1,1,Glu,1,3.000000e-02,2.163074e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.721921e-02,6.445321e-01
1,1,1,NAAG,1,2.736982e-02,2.926712e+00
1,1,1,PCh,1,3.000000e-02,1.360839e+00
1,1,1,PCr,1,2.474319e-02,1.042253e+00
1,1,1,PE,1,-3.000000e-02,6.580900e-01
1,1,1,Scyllo,1,-3.000000e-02,2.700506e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.489556e-02,0.000000e+00
1,1,1,MM12,1,-2.651283e-03,0.000000e+00
1,1,1,MM14,1,3.260748e-02,0.000000e+00
1,1,1,MM17,1,1.073780e-02,0.000000e+00
1,1,1,MM20,1,1.158580e-03,0.000000e+00
1,1,1,Lip09,1,1.429306e-02,4.953318e-01
1,1,1,Lip13,1,-2.021009e-02,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
