Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,5.660881e+00,7.675712e+00,1.582713e+00,5.261698e+00,2.178922e+00,3.515600e+00,3.908862e+00,2.612797e+01,8.937810e+00,0.000000e+00,4.617096e-01,0.000000e+00,0.000000e+00,5.394172e+00,9.870028e-01,6.430869e+00,2.223746e+00,8.653341e+00,1.834915e+01,2.459492e+00,2.967036e-02,5.257549e+00,6.727432e+00,2.877702e-01,6.550990e-01,2.080865e+01,2.208593e+00,1.293326e+01,3.003683e+01,5.855881e+00,8.653341e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,7.680643e-02,5.738142e-01,1.642004e-01,1.648464e-01,8.638754e-01,4.934588e-02,1.128884e-01,1.858431e-01,4.618982e-01,1.845946e-01,1.060578e-01,8.001030e+01,2.518975e+00,5.728868e-01,8.307488e+01,6.077416e+00,4.258858e+00,2.527461e+00,1.982805e+00,2.810783e-01,2.976165e-01,3.099501e-02,1.386476e-01,4.447734e-01,3.740100e-02,2.097060e-01,3.035967e-01,3.907488e-02,1.217900e-01,4.579246e-01,2.767737e+00,1.911316e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,6.120329e+00,5.702534e+00,9.145442e+01,8.304541e+00,3.962022e-02,4.882813e+00,4.763951e+01,2.915695e+02,2.915695e+02,3.815101e-08,7.645209e-08,4.709430e+00,7.268324e+01,4.441984e+01,2.866343e-02,-4.346354e+00,-3.356937e+00,7.842138e-03,6.960335e+00,5.647769e-02,2.563477e+00,1.025758e+05,7.632740e-06,7.446289e+00,1.865862e-02,2.938934e-02,-3.397188e-02,2.974783e-03,2.963926e+00,4.690465e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.865257e-02,5.347958e-01
1,1,1,Cr,1,2.808219e-02,1.010417e+00
1,1,1,CrCH2,1,2.557706e-02,0.000000e+00
1,1,1,GABA,1,2.516991e-02,3.183099e+00
1,1,1,GPC,1,2.590732e-02,8.041392e-01
1,1,1,GSH,1,3.000000e-02,2.822760e+00
1,1,1,Gln,1,3.000000e-02,3.183099e+00
1,1,1,Glu,1,3.000000e-02,2.361419e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.684543e-02,7.090652e-01
1,1,1,NAAG,1,2.832023e-02,1.384061e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,2.468278e-02,1.224306e+00
1,1,1,PE,1,-2.318465e-02,7.203225e-01
1,1,1,Scyllo,1,3.000000e-02,0.000000e+00
1,1,1,Tau,1,3.000000e-02,0.000000e+00
1,1,1,MM09,1,1.976991e-02,4.604199e-01
1,1,1,MM12,1,-6.562002e-02,8.796436e-01
1,1,1,MM14,1,1.085230e-02,0.000000e+00
1,1,1,MM17,1,-1.317560e-02,0.000000e+00
1,1,1,MM20,1,-4.523801e-02,0.000000e+00
1,1,1,Lip09,1,-2.835263e-03,6.278792e-01
1,1,1,Lip13,1,2.204642e-03,6.769786e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232404e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
