Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,9.105128e-01,7.912270e+00,2.130507e+00,3.091215e+00,1.446812e+00,2.825084e+00,3.118854e+00,2.376661e+01,6.363915e+00,0.000000e+00,1.206525e+00,0.000000e+00,0.000000e+00,6.349852e+00,1.832834e+00,6.125507e+00,2.404759e+00,1.404354e+01,1.479060e+01,2.702121e+00,3.758166e-01,3.753685e+00,1.280291e+01,0.000000e+00,0.000000e+00,1.749272e+01,1.822629e+00,1.166595e+01,2.688546e+01,7.556377e+00,1.404354e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,8.713089e-02,5.164088e-01,2.282972e-01,2.362339e-01,1.041555e+00,1.033339e-01,1.376440e-01,2.112902e-01,6.380364e-01,2.079599e-01,1.040370e-01,4.268620e+00,6.005326e+01,6.566225e-01,4.787986e+00,6.777212e+01,1.239094e+01,2.395612e+00,2.605393e+00,3.691740e-01,4.040542e-01,1.092639e-01,1.582932e-01,6.152985e-01,2.335413e-02,1.994349e-01,4.098462e-01,6.201211e-02,1.737224e-01,6.105957e-01,2.327203e+00,2.496578e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,3.373024e+00,3.291044e+00,8.617209e+01,1.272377e+01,3.962027e-02,4.882812e+00,5.048672e+01,1.702929e+02,1.702929e+02,5.081425e-08,8.297414e-08,4.703487e+00,1.885535e+01,3.138172e+01,2.409232e-02,-5.009835e+00,-1.069903e+00,7.472777e-03,8.156304e+00,6.618213e-02,2.563477e+00,9.006153e+04,7.509961e-06,6.469727e+00,1.702829e-02,3.064935e-02,-3.605756e-02,2.321566e-02,3.572206e+00,4.904424e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.298334e-02,0.000000e+00
1,1,1,Cr,1,2.640078e-02,2.636269e+00
1,1,1,CrCH2,1,2.195332e-02,9.436535e-01
1,1,1,GABA,1,2.985042e-02,3.183099e+00
1,1,1,GPC,1,2.830963e-02,3.183099e+00
1,1,1,GSH,1,2.595204e-02,3.057989e+00
1,1,1,Gln,1,2.504998e-02,3.183099e+00
1,1,1,Glu,1,2.765751e-02,3.183099e+00
1,1,1,Ins,1,3.000000e-02,1.950076e-01
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.445719e-02,1.415074e+00
1,1,1,NAAG,1,3.000000e-02,3.183099e+00
1,1,1,PCh,1,2.330192e-02,0.000000e+00
1,1,1,PCr,1,1.717190e-02,2.058838e+00
1,1,1,PE,1,-3.000000e-02,3.183099e+00
1,1,1,Scyllo,1,-0.000000e+00,6.366198e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,3.757878e-02,0.000000e+00
1,1,1,MM12,1,2.991669e-02,0.000000e+00
1,1,1,MM14,1,-1.762109e-02,0.000000e+00
1,1,1,MM17,1,2.436900e-02,0.000000e+00
1,1,1,MM20,1,-1.729263e-02,0.000000e+00
1,1,1,Lip09,1,-3.369269e-02,0.000000e+00
1,1,1,Lip13,1,-7.269702e-02,2.868522e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
