Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.653766e-01,0.000000e+00,9.105801e+00,0.000000e+00,6.139130e+00,4.149989e-01,3.413857e+00,3.690917e+00,2.168110e+01,9.463692e+00,0.000000e+00,4.968888e-01,1.298144e+00,0.000000e+00,6.279626e+00,1.917817e+00,4.277287e+00,2.903693e+00,9.904473e+00,1.286170e+01,4.361951e+00,2.149485e+00,3.601668e+00,8.784694e+00,2.216353e-01,9.669860e-01,1.722365e+01,2.564483e+00,1.270747e+01,2.537201e+01,6.776515e+00,9.904473e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.452798e-01,2.459443e-01,1.816494e-01,9.887238e-02,1.017042e+00,1.517876e-01,1.463033e-01,2.007868e-01,5.242708e-01,2.247196e-01,1.190784e-01,3.653722e+00,4.028929e+02,5.406382e-01,4.671206e+00,4.062888e+02,1.100374e+01,2.981708e+00,2.454241e+00,2.876235e-01,3.640347e-01,1.857250e-01,1.127045e-01,5.393038e-01,4.225573e-02,2.722336e-01,3.475730e-01,4.763220e-02,1.528473e-01,5.423847e-01,2.648393e+00,2.295676e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,5.149419e+00,4.950297e+00,8.929913e+01,1.182870e+01,4.754433e-02,5.859375e+00,4.199963e+01,2.162737e+02,2.162737e+02,3.799803e-08,7.126347e-08,4.722307e+00,8.088109e+01,5.327610e+01,3.139110e-02,9.008179e+00,2.816272e+00,7.185664e-03,7.000884e+00,5.680680e-02,2.563477e+00,1.008324e+05,4.926801e-06,9.399414e+00,1.846691e-02,3.621234e-02,-6.921112e-02,4.033797e-02,2.639524e+00,6.399045e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,1.939294e-02,1.788485e-01
1,1,1,Asp,1,-3.000000e-02,0.000000e+00
1,1,1,Cr,1,2.145010e-02,2.112826e+00
1,1,1,CrCH2,1,3.000000e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,2.113269e-02,0.000000e+00
1,1,1,GSH,1,2.856694e-02,3.138211e+00
1,1,1,Gln,1,2.971297e-02,3.183099e+00
1,1,1,Glu,1,2.869399e-02,1.893918e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.657560e-02,2.693248e-01
1,1,1,NAAG,1,2.344139e-02,3.183099e+00
1,1,1,PCh,1,2.567662e-02,1.022005e+00
1,1,1,PCr,1,2.397573e-02,0.000000e+00
1,1,1,PE,1,-2.029354e-02,3.183099e+00
1,1,1,Scyllo,1,2.764401e-02,0.000000e+00
1,1,1,Tau,1,1.358886e-02,0.000000e+00
1,1,1,MM09,1,3.445538e-02,0.000000e+00
1,1,1,MM12,1,5.022572e-02,0.000000e+00
1,1,1,MM14,1,2.495128e-02,0.000000e+00
1,1,1,MM17,1,1.772470e-02,0.000000e+00
1,1,1,MM20,1,-1.433953e-02,0.000000e+00
1,1,1,Lip09,1,-4.686376e-02,0.000000e+00
1,1,1,Lip13,1,-5.341460e-03,1.671961e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
