Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,5.649871e-01,6.564764e+00,7.880783e+00,1.865949e+00,4.612222e+00,1.796866e+00,3.609591e+00,4.060984e+00,2.544785e+01,7.546915e+00,0.000000e+00,2.783725e+00,4.682751e+00,0.000000e+00,4.608215e+00,1.501384e+00,1.854625e+00,1.559449e+00,4.841995e+00,1.833393e+01,3.514657e+00,3.312049e-01,5.166939e+00,1.079950e+01,0.000000e+00,0.000000e+00,2.184859e+01,2.128071e+00,1.304772e+01,2.950883e+01,7.391940e+00,4.841995e+00
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.348297e-01,7.156732e-01,1.808300e-01,1.556419e-01,8.822621e-01,9.472061e-02,1.300407e-01,1.928801e-01,4.947226e-01,1.929917e-01,9.715198e-02,6.661314e+01,1.329854e+02,6.154950e-01,7.016023e+01,6.628848e+01,1.633653e+02,3.325238e+00,2.502349e+00,3.078800e-01,2.109606e-01,9.416456e-02,1.650710e-01,5.749720e-01,2.259079e-02,1.918725e-01,2.896659e-01,4.366863e-02,1.465596e-01,5.266559e-01,2.766003e+00,2.350716e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,5.525785e+00,4.090519e+00,9.159114e+01,9.980697e+00,3.565821e-02,4.394531e+00,5.034471e+01,2.781940e+02,2.781940e+02,3.493677e-08,7.990923e-08,4.707449e+00,6.377831e+01,2.081807e+01,1.962276e-02,-1.416382e+01,-7.970661e+00,6.798236e-03,5.675715e+00,4.605402e-02,2.563477e+00,8.507448e+04,7.915354e-06,6.835937e+00,1.701197e-02,2.843395e-02,-3.656432e-02,2.509696e-02,2.650681e+00,4.348105e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,3.000000e-02,0.000000e+00
1,1,1,Asp,1,2.294951e-02,1.908908e+00
1,1,1,Cr,1,2.524225e-02,1.569129e+00
1,1,1,CrCH2,1,2.541945e-02,0.000000e+00
1,1,1,GABA,1,1.575740e-02,3.183099e+00
1,1,1,GPC,1,2.599064e-02,6.367635e-01
1,1,1,GSH,1,3.000000e-02,3.183099e+00
1,1,1,Gln,1,2.565942e-02,3.183099e+00
1,1,1,Glu,1,2.702588e-02,2.734445e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.403842e-02,2.698334e+00
1,1,1,NAAG,1,-1.021296e-02,6.039136e-02
1,1,1,PCh,1,1.360458e-02,0.000000e+00
1,1,1,PCr,1,2.219077e-02,1.902755e+00
1,1,1,PE,1,9.310397e-04,3.183099e+00
1,1,1,Scyllo,1,-0.000000e+00,6.366198e-01
1,1,1,Tau,1,3.330216e-05,6.347530e-01
1,1,1,MM09,1,2.616794e-02,1.708051e+00
1,1,1,MM12,1,2.093369e-02,0.000000e+00
1,1,1,MM14,1,-1.000000e-01,4.936376e-01
1,1,1,MM17,1,-2.354536e-02,0.000000e+00
1,1,1,MM20,1,-1.705315e-02,0.000000e+00
1,1,1,Lip09,1,-1.036728e-04,0.000000e+00
1,1,1,Lip13,1,1.000000e-01,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232404e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
