Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,3.970785e+00,7.032440e+00,1.787426e+00,5.388718e+00,1.986948e+00,3.200424e+00,3.849572e+00,2.467870e+01,8.102371e+00,0.000000e+00,6.512195e+00,3.081231e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.571277e+00,1.218389e+00,1.130747e+01,1.560595e+01,2.767774e+00,1.883694e-01,5.044986e+00,8.355479e+00,0.000000e+00,0.000000e+00,1.837373e+01,2.175317e+00,1.207743e+01,2.852827e+01,6.512195e+00,1.130747e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,8.914636e-02,5.523519e-01,1.675867e-01,1.844808e-01,9.765872e-01,7.040016e-02,1.199678e-01,2.044995e-01,5.867504e-01,2.131215e-01,1.170181e-01,7.096506e+01,5.833654e+01,6.142792e-01,7.060504e+01,4.704186e+01,4.261161e+00,2.579307e+00,2.136750e+00,2.992213e-01,4.087998e-01,7.399962e-02,1.424190e-01,4.876355e-01,2.443648e-02,2.134482e-01,3.331112e-01,4.820480e-02,1.549773e-01,5.653540e-01,6.057899e-01,1.987334e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,4.123065e+00,4.810347e+00,8.865620e+01,1.150008e+01,4.358229e-02,5.371094e+00,4.562512e+01,1.881154e+02,1.881154e+02,5.227244e-08,8.271394e-08,4.709430e+00,7.888319e+01,4.775160e+01,2.971900e-02,-6.683111e-02,-1.971894e+00,7.954235e-03,6.961554e+00,5.648765e-02,2.563477e+00,9.616559e+04,3.500253e-06,6.958008e+00,1.539981e-02,2.786152e-02,-3.124381e-02,1.454306e-02,2.399022e+00,5.229312e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,2.406396e-02,0.000000e+00
1,1,1,Cr,1,2.777101e-02,5.371148e-01
1,1,1,CrCH2,1,2.788236e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,2.447852e-02,6.817213e-02
1,1,1,GSH,1,2.832400e-02,2.680664e+00
1,1,1,Gln,1,2.576728e-02,3.183099e+00
1,1,1,Glu,1,2.899958e-02,2.494090e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.583636e-02,7.883432e-01
1,1,1,NAAG,1,2.891415e-02,3.183099e+00
1,1,1,PCh,1,-2.631782e-03,0.000000e+00
1,1,1,PCr,1,1.811554e-02,1.705431e+00
1,1,1,PE,1,1.307831e-02,1.841711e+00
1,1,1,Scyllo,1,-0.000000e+00,6.366198e-01
1,1,1,Tau,1,-4.889776e-05,6.119665e-01
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,3.252944e-03,5.761406e-01
1,1,1,MM14,1,-4.294707e-03,0.000000e+00
1,1,1,MM17,1,4.871791e-03,0.000000e+00
1,1,1,MM20,1,-9.942882e-03,0.000000e+00
1,1,1,Lip09,1,1.260260e-02,0.000000e+00
1,1,1,Lip13,1,-3.295447e-02,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
