Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,0.000000e+00,4.956219e+00,7.854135e+00,1.475497e+00,8.867977e+00,1.428372e+00,3.213575e+00,4.153422e+00,2.010918e+01,7.836851e+00,0.000000e+00,9.577376e-01,8.776245e-01,0.000000e+00,5.783627e+00,1.850702e+00,5.985558e+00,2.862086e+00,1.321176e+01,1.782633e+01,1.614212e+00,9.570917e-01,5.371466e+00,8.862949e+00,0.000000e+00,0.000000e+00,1.944054e+01,2.385464e+00,1.322560e+01,2.426260e+01,6.741364e+00,1.321176e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,9.442733e-02,6.993577e-01,2.154607e-01,2.420577e-01,1.016500e+00,1.530830e-01,1.350471e-01,2.213313e-01,5.375091e-01,2.534509e-01,1.506637e-01,4.171979e+01,1.143410e+01,6.459488e-01,4.235621e+01,6.311721e+00,1.559222e+01,2.501865e+00,2.502502e+00,3.699306e-01,4.393391e-01,1.471419e-01,1.724188e-01,5.373118e-01,2.541512e-02,2.230443e-01,3.798240e-01,5.373909e-02,1.856325e-01,5.565426e-01,2.505270e+00,2.367912e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,3.884459e+00,6.277982e+00,8.782024e+01,1.074048e+01,4.358228e-02,5.371094e+00,3.883722e+01,1.508616e+02,1.508616e+02,6.081138e-08,6.972684e-08,4.709430e+00,9.174907e+01,7.624719e+01,3.755364e-02,-4.972921e+00,-3.598045e+00,7.020241e-03,9.287356e+00,7.535973e-02,2.563477e+00,1.006820e+05,1.850569e-06,7.202148e+00,2.201237e-02,4.324309e-02,-3.233721e-02,-9.553259e-04,3.054465e+00,5.300770e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,3.000000e-02,2.473754e-01
1,1,1,Cr,1,3.000000e-02,8.429452e-01
1,1,1,CrCH2,1,2.496697e-02,0.000000e+00
1,1,1,GABA,1,2.187676e-02,3.183099e+00
1,1,1,GPC,1,2.957671e-02,9.455966e-01
1,1,1,GSH,1,3.000000e-02,2.349942e+00
1,1,1,Gln,1,3.000000e-02,3.183099e+00
1,1,1,Glu,1,3.000000e-02,1.392663e+00
1,1,1,Ins,1,3.000000e-02,0.000000e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.998359e-02,9.541497e-02
1,1,1,NAAG,1,3.000000e-02,3.183099e+00
1,1,1,PCh,1,3.000000e-02,0.000000e+00
1,1,1,PCr,1,2.735507e-02,1.154748e+00
1,1,1,PE,1,2.066650e-02,4.355342e-01
1,1,1,Scyllo,1,1.125995e-02,1.014769e+00
1,1,1,Tau,1,1.026621e-03,6.308264e-01
1,1,1,MM09,1,2.838716e-02,0.000000e+00
1,1,1,MM12,1,-1.010389e-02,0.000000e+00
1,1,1,MM14,1,-4.016806e-02,0.000000e+00
1,1,1,MM17,1,1.106134e-02,0.000000e+00
1,1,1,MM20,1,-2.281623e-02,0.000000e+00
1,1,1,Lip09,1,6.313073e-04,6.241294e-01
1,1,1,Lip13,1,3.769472e-02,9.706489e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
