Signal amplitudes
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,4.758582e-01,2.482069e+00,7.836611e+00,1.937472e+00,4.284451e+00,2.178522e+00,2.907408e+00,3.817327e+00,2.393602e+01,7.987110e+00,0.000000e+00,4.662054e-01,2.028035e+00,0.000000e+00,6.494643e+00,1.865576e+00,6.933972e+00,2.534613e+00,1.153637e+01,1.728900e+01,2.293221e+00,2.782135e-01,4.958674e+00,8.259302e+00,4.238124e-01,0.000000e+00,1.958222e+01,2.456735e+00,1.279528e+01,2.775334e+01,6.960848e+00,1.153637e+01
CRLBs (standard deviation)
Row,Col,Slice,Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,Ins,Lac,Lip09,Lip13,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM20
1,1,1,1.557185e-01,5.251002e-01,1.902715e-01,1.894254e-01,1.046266e+00,1.199277e-01,1.302049e-01,2.152972e-01,5.980384e-01,2.013315e-01,1.048715e-01,4.487363e+01,3.782563e+02,6.666759e-01,4.579701e+01,3.793852e+02,2.005733e+01,3.017739e+00,2.541718e+00,3.211524e-01,3.602266e-01,1.144489e-01,1.619012e-01,5.614876e-01,8.422672e-02,1.811416e-01,3.397290e-01,6.389306e-02,1.612791e-01,5.903198e-01,3.704386e+00,2.397170e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,3.825077e+00,4.336269e+00,8.776041e+01,1.044191e+01,3.565822e-02,4.394531e+00,5.043045e+01,1.929004e+02,1.929004e+02,5.151874e-08,8.073051e-08,4.708440e+00,6.024080e+01,2.707839e+01,2.237955e-02,-5.042848e+00,-2.760127e+00,6.855589e-03,7.326613e+00,5.944980e-02,2.563477e+00,8.491943e+04,5.262550e-06,7.202148e+00,1.342608e-02,2.574443e-02,-1.927292e-02,1.583021e-02,2.938323e+00,5.155557e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Asc,1,3.000000e-02,8.150891e-01
1,1,1,Asp,1,2.696610e-02,0.000000e+00
1,1,1,Cr,1,2.903026e-02,1.459009e+00
1,1,1,CrCH2,1,2.904045e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,2.659152e-02,1.650620e+00
1,1,1,GSH,1,2.921883e-02,2.383754e+00
1,1,1,Gln,1,2.850201e-02,3.183099e+00
1,1,1,Glu,1,2.961066e-02,2.575511e+00
1,1,1,Ins,1,3.000000e-02,2.035780e-01
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,2.764076e-02,8.462297e-01
1,1,1,NAAG,1,2.818782e-02,2.375782e+00
1,1,1,PCh,1,2.422809e-02,4.335484e-01
1,1,1,PCr,1,2.135470e-02,2.283015e+00
1,1,1,PE,1,-1.700841e-02,2.547627e+00
1,1,1,Scyllo,1,-3.000000e-02,3.183099e+00
1,1,1,Tau,1,-3.977552e-03,0.000000e+00
1,1,1,MM09,1,1.660191e-02,0.000000e+00
1,1,1,MM12,1,3.757038e-02,2.089422e-01
1,1,1,MM14,1,-1.616740e-02,0.000000e+00
1,1,1,MM17,1,-1.049143e-04,0.000000e+00
1,1,1,MM20,1,-1.831308e-02,0.000000e+00
1,1,1,Lip09,1,-8.915122e-03,6.095789e-01
1,1,1,Lip13,1,-1.236900e-02,6.973482e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,0.000000e+00\0.000000e+00
SliceThickness,0.000000e+00
ImageOrientationPatient,0\0\0\0\0\0
ImagePositionPatient,0\0\0
VoiDim,30\30\30
Data parameters
Fs (Hz),4.000000e+03
Ft (Hz),1.232403e+08
N,4096
TE (s),3.500000e-02
Format,rda

TARQUIN version,4.3.11
