Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho
0,0.223617681,0.656382354,0.184330698,0.101834545,0.092267312,0.2231333,0.282865108,1.351730429,2.78E-05,0.917132191,0.024434525,1.513854084,0.139710744,0.126729334,0.343617646,0.296177031,0.034364234,0.411905933,0.382500639,0,0.236452076,0.104435084,0.368106405,0.194105134,0.368389803,0.335349171,1.653564828,1.634595537,0.218996646
0.006926123,0.180642755,0.498090856,0.171118566,0.181813736,0.106893318,0.214513289,0.144361936,1.118460069,0.041657542,1.043605384,0,1.442606642,0.08938992,0.091763257,0.501909144,0.320585306,0.043641875,0.45006388,0.207443702,0.219767809,0.112996494,0.041926336,0.147409753,0.158906021,0.130958015,0.317026472,1.531996562,1.262822005,0.198656575
0,0.358390248,0.648650639,0.172029995,0.07991321,0.109911273,0.241086774,0.328840462,1.363882268,0.000253173,0.897372959,0.033599885,1.457060337,0.174976619,0.07527289,0.351349361,0.253163602,0.022529455,0.422486462,0.369979575,0,0.305450853,0.116461863,0.394970815,0.170473845,0.315343088,0.260877564,1.632036956,1.692722729,0.185184163
0,0.320894227,0.657201851,0.143296284,0.116253709,0.044577917,0.198336088,0.312993748,1.314519728,0,0.921202936,0,1.445623727,0.191370211,0.132066341,0.342798149,0.235814061,0.058385966,0.387566102,0.281516861,0,0.42676004,0.039250599,0.294454373,0.110083642,0.092550903,0.354311307,1.636993938,1.627513476,0.176644258
0,0.346725515,0.664119293,0.190464632,0.039851425,0.075778057,0.256487661,0.422656258,1.448677139,0,0.766670196,0.029430714,1.545044695,0.128485728,0.101668714,0.335880707,0.518636867,0.010394764,0.014751937,0.409790272,3.15E-05,0.499154729,0.003816342,0.529474102,0.175579133,0.385350636,0.281865837,1.673530423,1.871333397,0.177446771
0,0.176273613,0.774112037,0.123186142,0.158295648,0.054572477,0.229159492,0.355614199,1.149276271,8.40E-07,0.973271498,0,1.258858108,0.196245892,0.17169837,0.225887963,0.196091398,0.048279113,0.398250512,0.335314588,0.029814685,0.17346015,0.054642767,0.348265417,0.166398576,0.257278036,0.299935534,1.455103999,1.50489047,0.226270846
0,0.247816712,0.660198628,0.195475111,0.12949902,0.078635802,0.229925009,0.349417841,1.289222997,3.50E-07,0.899027245,0.046114195,1.486969644,0.152813113,0.116069559,0.339801372,0.297232225,0.042309007,0.400309493,0.332526629,0,0.201887747,0.063493922,0.30263753,0.228177384,0.311074838,0.262605235,1.639782758,1.638640838,0.194705361
0,0.231921834,0.704492119,0.106727821,0.147809083,0.046825848,0.210922443,0.313250623,1.222099131,9.35E-07,0.931358904,0.025739798,1.402225674,0.1309898,0.135261911,0.295507881,0.298610569,0.04586416,0.392501411,0.331395127,0,0.235840788,0.095629933,0.31431627,0.178021898,0.318521602,0.257068438,1.533215473,1.535349753,0.182087759
0,0.258782492,0.751980701,0.138396709,0.130239299,0.045406392,0.219330032,0.362374524,1.220203452,2.57E-05,0.884765105,0,1.325078924,0.176304272,0.146067763,0.248019299,0.298224672,0.039759373,0.302740535,0.217529743,0.169529213,0.241588323,0.068013845,0.263950622,0.180706187,0.334319823,0.331258297,1.501383197,1.582577976,0.191474155
0,0.21323442,0.588975406,0.188228499,0.186424604,0.084891483,0.219125155,0.121965687,1.146992167,8.38E-07,0.887877432,0.029135176,1.481758389,0.148056491,0.095406512,0.411024594,0.280510469,0.039448576,0.401927693,0.256734578,0,0.229580032,0.064196598,0.191675744,0.177317318,0.287632971,0.276607412,1.62981488,1.268957854,0.180297995
0,0.266796219,0.82769838,0.530712794,0.08024975,0.030873085,0.186108188,0.275036926,1.311238854,1.47E-07,0.887631358,0.06254872,1.492328392,0.163579276,0.126050485,0.17230162,0.169569703,0.036204695,0.314931944,0.42803611,0,0.510818127,0.059731317,0.436368064,0.186829169,0.236627996,0.207309096,1.655907667,1.58627578,0.15692357
