Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0.0154250880509582,0.00575454939494253,0,0.00020366449055714,0.0863770842489744,0.00624135749955976,0.247520831404877,0.217329735157381,1.29015374973799,2.08468213048887e-10,0.00629265268053366,0,1.54383516816543,0.158285324679205,0.00065061333176172,0,0.0163877248988923,0,6.17595720797613e-05,0.313899522840283,0,0.00509097953651776,0,0,0,0,1.90675606672451e-18,0.177870668706316,1.70212049284464,1.50748348489537,0.00689197083132148,0,0.264247752955291
0,0.00364341564194514,0.0174086903917805,0.00646344354901867,0.0988020057094998,0.00289300014157624,0.318603726212278,0.227586193164669,1.35928477410399,4.05121790592878e-12,0.00595235122950468,0,1.76215270764082,0.0758035999767795,0.00733154755373901,0.00707077674988075,0.00107693875548537,0,0,0.29981021548755,0.0016303484341434,0.000821011311410407,0.00131889809235155,0.000845186061655944,1.97102829134376e-18,0,2.26993881297188e-18,0.213846342800029,1.8379563076176,1.58687096726866,0.0102245476953153,0.0244794671416612,0.312648348509529
1.39525128503904e-06,0.00557988981979461,0.000217979789610405,0,0.134554325109092,0.00200420939557612,0.179881315019214,0.21532239413291,1.16239126027711,2.02149539376262e-08,0.00419144419307065,0.0514051773216439,1.45942867045945,0.168740868266154,0.00159245300591537,4.86219265769484e-06,0,0,0,0.236426214385225,0,0,0,0,4.33949856386697e-19,0,7.69082569131727e-18,0.147842099587982,1.6281695387256,1.37771365441002,0.00359666240149149,0.0002228419822681,0.282396424697075
0.0383105001337185,0.0129175244308489,0.000217987834910293,0.0173310730643925,0.120942394672082,0.00495622210255353,0.288449045879384,0.167442677223652,1.41437107660943,1.50209227322578e-08,0.00544947309115076,0.0150041724612208,1.49083324293486,0.130350300352742,0.000281757980155567,1.61764634187419e-06,0,0,0,0.261774204392322,0,0,0,0,0,6.02879761672759e-19,0,0.183875049995326,1.62118354328761,1.58181375383309,0.0052379800827091,0.000219605481252167,0.304817444667408
0,0.000551569974294313,2.41491588479132e-06,0.000107563538903451,0.134604656109489,0.00027503588830433,0.350214871606118,0.242338455517779,1.44832817432523,0.00249025134035776,0.00605998551854212,0,1.82335247623614,0.124229500572002,0.0122990155114815,0.0131494697768202,0,0,0,0.290083976705324,0,0,0,0,7.31492367025165e-18,9.00520538961098e-18,6.09791692295467e-18,0.194614834973469,1.94758197680814,1.69066662984301,0.0125740513997858,0.013151884692705,0.329219491082958
0.00232188721652698,0.00575041070765689,1.96626666300334e-06,0.000143444810884276,0.237171977515513,0.000327327317178123,0.253116610975937,0.31951114675125,1.74244915192165,3.87186170732977e-08,0.00564359334484334,0.00322155004156652,1.62003446470641,0.181989145424424,0.00069478552573258,0,0.000135159237380965,0.0143271889283334,0.00111164349019201,0.302387505493135,0.0134040032145716,0.0085443200863706,0,0.00386441418638258,0,5.04939690511618e-18,7.43370011293191e-18,0.108697016580412,1.80202361013083,2.0619602986729,0.0010221128429107,1.96626666300334e-06,0.345868994095924
0.00133452694182819,0.00906929661337741,0,0.000397779411792676,0.209493575056346,0.0468023111968388,0.268780392272125,0.217278237733517,1.64363209682227,0.00711545868264011,0.00416050481495429,0.0167885078487194,1.54911955612897,0.145656446374421,0,0,2.72005835905746e-05,0,0.00048178331417119,0.254875027575144,0,0,0,0,1.91863824426961e-18,1.12998990717642e-17,0,0.123682841973453,1.69477600250339,1.86091033455578,0.0468023111968388,0,0.333176417029799
0.000579641307179427,0.0158374425904181,0.000326383152516641,0,0.182813864545317,0.00455284614308487,0.252764731028287,0.223215286688733,1.89054498097205,1.43955917659807e-09,0.00440503868783293,0.0361400575665622,1.66831262719702,0.15586377298374,0.00396582325695625,0,0,1.47508160057771e-05,0,0.319830312403645,0.00659706505937931,0,0,0,0,0,3.86637912275349e-17,0.128178829799296,1.82417640018076,2.11376026766078,0.00851866940004113,0.000326383152516641,0.310992694344613
0.0347148904549133,0.00599239444863686,7.49440417630575e-05,0,0.223223429480594,0.0017376280090809,0.283959340487999,0.321168211135606,1.74872399129549,0.0087417424491212,0.0046970239899802,0.00803633820361923,1.57605604693925,0.164057546454729,0.00189011381719723,0,0,0,0,0.344026505532832,0.0231490156074074,0.00103411757283828,0.0162332282960355,0,6.94121202890507e-18,7.12334353760453e-18,0,0.078501732320447,1.74011359339397,2.06989220243109,0.00362774182627813,7.49440417630575e-05,0.301725161801041
0.000737889081494655,0.00795359365940812,0.000147439015720944,0.021642402624073,0.150767640467426,0.00264781305271008,0.221651184001456,0.204513370188855,1.39486285740275,2.78449368674507e-08,0.0587239327937538,0.00274791845769043,1.44114035181864,0.120036402878036,0.0026110477090178,3.9724231557645e-05,0,0.0422308011371206,0.0394233528027852,0.323567345534087,0,0,0,0.00950664741590991,4.13592010804028e-17,0,0,0.101359965245369,1.56117675469668,1.59937622759161,0.00525886076172788,0.000187163247278589,0.252127605712795
