Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00636439532344952,0.00033007945368637,0.000535257960608646,0.162144601342438,0.00103588426777923,0.209593519040716,0.210812653708832,1.10853841763382,0.0779142098132598,0.00433265849465028,0.00406766609765635,0.0183889894752152,1.49171436810439,0.188453626249746,0.000182984482733496,0.00556241856254771,0.0052379039194075,2.27705893351916e-05,0.00325824972384464,0.24261227040873,0,0.00437442595729085,0,0,2.49670610618704e-17,1.70719889952859e-17,0,1.68016799435413,1.31935107134265,0.00121886875051273,0.00589249801623408,0.404756871751168
0,0.0308934054141691,0.0162394342112924,0.000437522442453416,0.198092285123327,0.0133059593423556,0.237187338257818,0.211689376105787,1.2531470935467,0.119080995172183,2.56722347201691e-11,0.0038079488715446,0,1.75195415302429,0.135370648248451,0.00149958962330077,0.00100788672208775,0.00675092165148932,0.000116586147516628,0.00181144365216257,0.289427595289436,0.00645486672558813,0,0,0,0,0,0,1.88732480127274,1.46483646965248,0.0148055489656564,0.0172473209333801,0.487519880412763
2.11387706863641e-05,0.00479574701693095,0.000394013658552867,0.000162434292455722,0.268323824640715,0.00259161376750606,0.200442435597596,0.259664052337835,1.22924234788989,0.0137889935823753,9.15503205696282e-09,0.0021151101840733,0.0860149015122569,1.50744399406808,0.192481047761647,0.00141914341441277,0.000536337713104607,0.00653884455696424,0.000160655456881407,0.00336543891291865,0.143216016217745,0,0.0120811079740541,0,0.00120036926407507,0,9.48467742501469e-18,0,1.69992504182972,1.48890640022772,0.00401075718191882,0.000930351371657474,0.41153984085846
1.71132132455436e-05,0.0115364441718893,0.000722595614061253,0.00146507631230984,0.128825799629575,0.00168397528610815,0.312816943914282,0.32840204639601,1.45434563498467,0.0139337044662846,1.31387477442712e-08,0.00614887237647488,0.0424187197417129,1.58635798513999,0.136321583797283,0,0.00647910675522999,0.00334540645194684,0.00171991470211199,0.00246995389816175,0.212733055119764,0,0,0,4.87885367243703e-05,0,1.15388028799835e-19,0,1.72267956893728,1.78274768138068,0.00168397528610815,0.00720170236929125,0.34155885474934
0,0.00359321267157017,0.0215769650514899,0.0266536115387239,0.219896381296075,0.000553620814671581,0.193087785398894,0.235254314582751,1.04443311714171,0.174684607018711,5.86725509650846e-10,0.0241815442821406,0,1.70325002248462,0.182857014470258,0,0.000902452228629643,0.0160144265551641,0.000157771544090523,0.00648066676419392,0.273482033635016,0,0,0,0,7.80289776464321e-17,0,0,1.88610703695487,1.27968743172446,0.000553620814671581,0.0224794172801195,0.493378414931091
0.00255947285572508,5.06906796959426e-05,0.0207318938134073,8.12874460097252e-05,0.219542266327184,0.00144285481023918,0.358581686135976,0.528510342281041,1.43742294878406,0.00778196763477404,2.90593921563632e-07,0.00696725078013057,0.0901561332249216,1.64438489841105,0.086241867487359,0.000458638320720402,0.000600794095471841,0.00456815027166255,0.000337793398361909,0.00574352224993625,0.182278704184834,0.000575553310430344,0,0.00314134529796529,0.00372517508465067,0,0,1.60332984766234e-18,1.73062676589841,1.96593329106511,0.00190149313095958,0.0213326879088792,0.401820970512017
0.00131249221619319,0.00209541147261312,5.23813856609297e-05,0.000333850202110062,0.18162008592311,0.000877970345936106,0.347906117795891,0.408106719668288,1.37487890111439,0.0280768391252745,0.0149824340747247,0.0052939127773539,0.0601609863369097,1.50667041031731,0.0771236011354911,0,0.000252019952506186,0.0042827807122281,5.06057547685925e-05,0.00505427963552706,0.221028064281825,0.00380097565481531,0,0.00821724578855174,0.00363806850733703,0,5.46754894447873e-20,1.82502768799372e-18,1.5837940114528,1.78298562078267,0.000877970345936106,0.000304401338167116,0.402648150204934
0.00228198801842846,0.00470704400081577,0.000540613383145586,0,0.239872369011212,0.00529254545778778,0.376306606988215,0.499294322080639,1.85230734108245,0.00197846128347685,1.34667628207417e-07,0.00305880457425145,0.152943760912999,1.78243447442125,0.111504697146156,0.00365258417524801,0.000568807594637184,0.00443763988109822,0.000220622106589457,0.0344891037044642,0.180171256425424,0,0,0,0,1.17836114807034e-18,0,2.08753982736802e-17,1.8939391715674,2.35160166316309,0.00894512963303579,0.00110942097778277,0.420043625436636
0.00319610984785711,0,0.000428566205816768,0,0.115140954460436,0.00227205007378615,0.347671122612012,0.42403117518891,1.58684660961765,0,7.50429947711756e-08,0,0.0959388375105919,1.51694516010675,0.0980531786763883,0.00114848730821419,0.000621703418627638,0.00608399783483906,0.000127298173329649,0.00546998105433151,0.183286621399148,0,0,0,0,0,4.7551863406068e-18,4.05500267642699e-18,1.61499833878313,2.01087778480656,0.00342053738200034,0.00105026962444441,0.298427575859584
0.00145774334873774,0.0024025573525365,0.000452693496331217,2.72690970259528e-05,0.166728754646276,0.00224718622357668,0.283077691318064,0.373964621100155,1.20901206726226,0.0405996116329436,6.52908290542061e-08,0.00320007174253133,0.0725003821821607,1.49319900580035,0.0699657865105087,0.0014208954555364,0.000679835813811633,0.00516124181341371,0.000259360370115062,0.00560229655571126,0.213822415199143,0,0,0,0,9.8491600234592e-18,9.42086963548316e-18,0,1.56316479231085,1.58297668836241,0.00366808167911308,0.00113252931014285,0.380551169845419
