Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0,0,0.00194335097635392,0.15540527037734,0,0.216995143568843,0.605971451932681,0.991378567142822,1.47962887154875e-06,0.0192137676482583,0.0065406230445773,0.0154709299971198,0.0425785175031273,0,0,0.0270264244452445,0,0.0220035413308773,0.000119502398787528,0,0.00135796187560496,0,0,0,0,4.08191028382338e-18,0.0580494475002471,1.5973500190755,0,0,0.15540527037734
0,0.00521271202675137,0.00516407919109784,0.000849900701000202,0.153019439868614,0,0.503954453075305,0.489035500653768,0.885044040668662,0,0.00914531860844661,0.132833129080842,0.0110960657285057,0,0,0.00234463083635221,0.0563379028080627,0.00230002036433465,0,4.01145914677258e-05,0,0,0,0,1.33553327009088e-18,3.63181749853603e-18,1.74668047293399e-19,0.0110960657285057,1.37407954132243,0,0.00750871002745005,0.153019439868614
0,0.029737193973777,0.000616090555437307,0.0226171298786439,0.140951837569898,0,0.248200985933264,0.458617085386619,0.699372178464808,2.22241335334337e-06,0.00342882439014209,0,0.0268261848249304,0.0460579115947106,0,0,0.018182166770241,0,0,6.79543345178616e-05,0,0,0,0,3.81875147717668e-18,8.4445216191198e-18,6.10235302770066e-18,0.072884096419641,1.15798926385143,0,0.000616090555437307,0.140951837569898
0,0.0381792957125065,0.00513008093622135,0,0.141159179360584,0,0.135947455253428,0.650272563729004,0.914044137602532,0,0.0404816655027567,0.14774498775067,0.0506043169864812,0,0,0.000847099828751921,0,0,0,5.95033363664921e-05,0,0,0,0,0,8.77079408995294e-18,0,0.0506043169864812,1.56431670133154,0,0.00597718076497327,0.141159179360584
0,0.0645263302624937,0.00129179434198399,0,0.151889438192476,0,0.653748089605847,0.522815589160847,1.00681324885613,0,0,0,0.0500829660611242,0.0369251808654274,0,0.0235115310561979,0,0,0,0.0105274184206367,0.0145028771411276,0.0468000325268926,0,0,0,5.07361308515542e-18,0,0.0870081469265516,1.52962883801698,0,0.0248033253981819,0.151889438192476
0.00071663281566582,0,2.43852233970219e-09,0.000474945616762906,0.1837060578859,0,0.124182284412499,0.672689033503327,0.946040194690832,0.00131864532664938,0.100271889986047,0.248345333664538,0.0390843625643865,0.115144090059415,0,0.000329947640744779,0.0224958414339594,0.00381086035234642,0.0837687027791306,2.61741558410277e-05,0,0,0,0,6.32068699351847e-18,1.42635399940039e-18,0,0.154228452623801,1.61872922819416,0,0.000329950079267119,0.1837060578859
0,0.01058406652284,0,0.00239738695387234,0.167876719566323,0,0.271148380704893,0.61978831137611,0.676313783836448,4.97873891354399e-06,0.156060847122466,0,0,0.14364536263302,0,0,0,0,0.0481926371483272,5.55872508238381e-06,0,0,0,0,6.32646200767726e-19,1.13071019767439e-18,0,0.14364536263302,1.29610209521256,0,0,0.167876719566323
0.0167581084399778,0.0480247453353116,0.000702057291804521,0,0.186608004611551,0,0,0.549871042116461,1.46287179249325,0,0.122921882632795,0.197258556712904,0.00388009616882307,0,0,0,0,0.0056199700263742,0.0359861975912139,5.46973250820436e-06,0,0,0,0.00222605135954792,1.88416617947406e-17,0,2.1709811810417e-17,0.00388009616882307,2.01274283460971,0,0.000702057291804521,0.186608004611551
0,0.0391382304089549,0.000630453043467434,0,0.157574462782692,0,0.274506321733204,0.998872008804612,0.501758507795365,0,0.0555216656866781,0.140350674736328,0,0,0,0.004576486800076,0,0.00822601815458126,0.0222023987682783,6.44269907540127e-05,0,0,0,0,0,0,5.29673309989082e-19,0,1.50063051659998,0,0.00520693984354344,0.157574462782692
0,0.0272666303592948,0,0,0.138089589902611,0,0.296188954093244,0.575372731185798,0.532958504518459,0,0.0391881948935201,0.0356447954612933,0,0,0,0,0.00471413217597266,0.0254210096380925,0.0265564538588115,0.000244184154782044,0,0,0,0,2.59435886396909e-18,1.1013905132382e-18,1.05344090897441e-17,0,1.10833123570426,0,0,0.138089589902611
