Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.000855713087973134,0,0.00121417924105589,0.241319927353995,0.00741823082951465,0.135193870353817,0.690446795319665,1.02164154873882,1.05708625877854e-06,0.0126213216364393,0.00639470443408163,0.0103237515804123,0.0623820227720767,0.00102823167827756,0,0.00178652092221631,0,0.000905767578631626,3.29726350382626e-05,0,0,0,0,1.84351584155285e-17,2.54145045594561e-17,0,0.072705774352489,1.71208834405848,0.00844646250779222,0
0,0.0217195788305926,0,0.00108266149756055,0.282332326528383,0,0.367892150986098,0.433744591678476,0.990611303066392,0,0.0267931189960098,0.130185057036156,0.00334061775419424,0,0,0,0.0243881336884968,0,0,0.00012901922674575,0,0,0,0,2.79502054612289e-16,0,0,0.00334061775419424,1.42435589474487,0,0
0,0.0142037492065655,0,0,0.161143186354868,0,0.187267966973829,0.525058323343751,0.731506752019771,1.2201049599997e-06,0.00293715220877735,0,0.00912691059243609,0.0583330967572735,0,0,0.00847966741715797,0,0,0.000625808371595021,0,0,0,0.0244265929561771,0,0,1.61591764779084e-17,0.0674600073497096,1.25656507536352,0,0
0,0.0496442782474125,0,0,0.170503773519359,0.00470994008673218,0.0284617332343888,0.617551943155066,1.00749663962226,6.2814579705297e-07,0.0355209349219573,0.140804593395405,1.65873188939158e-09,0,0,0,0,0,0,0.00180807271092541,0,0.0166359853574963,0.00582130809515358,0,0,0,0,1.65873188939158e-09,1.62504858277733,0.00470994008673218,0
0,0.12481044229066,0,0,0.302477856975522,0,0.599865985053023,0.423784387422826,1.13057519048227,0,0,0,0.0217160755925636,0.0541312769334314,0,0,0,0,0,0.00013789710780858,0,0,0,0,8.78607727931571e-18,1.31024277185091e-17,2.25461184594842e-17,0.075847352525995,1.55435957790509,0,0
0,0.0659421946669094,0,0,0.229010615956074,0.0113909314640432,0.0589351930081822,0.873113920617754,0.835129203299131,7.31365513703858e-07,0.110446568168361,0.332554287859577,0.0409203153032473,0.109976604188089,0.0171762435322146,0,0,0.00416143675228043,0.0172712693994377,0.00208348097913399,0,0,0,0,1.84680071363564e-18,0,6.54479314088098e-19,0.150896919491336,1.70824312391688,0.0285671749962578,0
0,0.00919926621409078,0,0.00131094093480008,0.352780668677396,0,0.363814053074944,0.487014965928161,0.720905223560313,2.26100990366317e-06,0.0600518496817185,0,0,0.0983437743559104,0,0,0,0,0.00772636615371614,8.11551102886529e-06,0,0,0,0,1.76066296514169e-17,0,1.27714196959795e-17,0.0983437743559104,1.20792018948847,0,0
0.00570525162601067,0.0469416263971235,0,0,0.280240406081398,0.0118349876281053,0,0.728326420792386,1.32818257961872,0,0.0660586489481954,0.107951828908227,0,0,0.00214881057328196,0.00139063741755758,0,0.00244933961789532,0,1.1923298158969e-06,0,0,0,0,0,0,7.4831403827836e-18,0,2.05650900041111,0.0139837982013873,0.00139063741755758
0,0.0339037471865338,0,0,0.337495679093512,0,0.266525895655399,0.645241081894304,0.74499672474551,0,0.0264829257892598,0.152689707415133,0.000932774967874378,0,0,0,0,0.000168996525112054,0,8.89116728126162e-05,0,0,0,0,0,0,1.22185523835295e-18,0.000932774967874378,1.39023780663981,0,0
0,0.171103540027456,0,0,0.221454972027405,0,0.285488704323663,0.627315545614624,0.503714491417485,0,0.0992185341418447,0.0721423928516113,0,0,0,0,0,0.00509359172394274,0.0583332507715123,8.25458691748414e-05,0,0,0,0,1.12597610055239e-17,2.74454233759047e-18,2.79671661260712e-18,0,1.13103003703211,0,0
0,0.0919798384119432,0,0,0.19993895436579,0.00572321757794789,0.413993616219264,0.816791748268201,0.311893743047824,0,0.0760482975574503,0,0,0,0,0,0,0.000811487207858332,0.00876972981712607,7.37126693809668e-07,0,0,0,0,0,0,6.57212855128187e-19,0,1.12868549131603,0.00572321757794789,0
0.015199334225207,0.0867282600285472,0,0,0.271158760250675,0.0126598759686238,0.268164164630208,0.521274287755178,1.12257880990065,2.44004492698624e-08,0.0366047268408032,0,7.25683495383273e-07,0.0771841038385189,0.0137804134118432,0,0,0,0,7.44075232800927e-05,0,0,0,0,1.86390329751752e-17,0,0,0.0771848295220143,1.64385309765583,0.026440289380467,0
0,0.0372259053823333,0,0,0.205667807386264,0.000900740501943804,0.108304469922711,1.01931386125964,0.390247286864986,0.000930840167042813,0.227119767796845,0,0,0,1.52177964068788e-08,0,0,0.0146382508830041,0.28722996523253,1.82955882618773e-06,0,0,4.98171772194301e-05,4.70957432818608e-05,0,1.05698847769952e-17,0,0,1.40956114812462,0.000900755719740211,0
0,0.0313135642170209,0,0,0.150341190021557,0.01576564104669,0.26101938194144,0.38287183614644,0.70995166842766,1.30555151355087e-10,0.0168671903094908,0.0840857259787609,0.019715457459491,0.00600636441530516,0.0172979639560084,0,0,0,0,0.00236080993039088,0,0,0,0.0268042490421791,0,0,1.1480769531084e-18,0.0257218218747962,1.0928235045741,0.0330636050026984,0
0,0.00209040350573038,0,0.00060159231788721,0.172487273505198,0.00658112574797734,0.138547516276692,0.662052781889106,0.903340815323691,0,0.0170365679769111,0.0213129171101891,0,0.0207650524752347,0.00342771185850742,0,0,0.000472191035644515,0.00129238485987988,1.96590619102448e-06,0,0,0,0,0,4.38751501816582e-18,0,0.0207650524752347,1.5653935972128,0.0100088376064848,0
0,0.0696844918613943,0,0,0.170908165104242,0.0179405741209415,0.365562439047467,0.484273149289033,1.07130298609035,3.09844841379452e-06,0,0.0129724930159416,0.0462063171194732,0.0929846476707276,0.0211044709125933,0,0,0,0,0.000106237062259495,0,0,0,0,0,1.05809631472193e-17,5.98862711100457e-18,0.139190964790201,1.55557613537938,0.0390450450335348,0
0,0.0720700190174164,0,0,0.279056396054664,0,0.474156285956946,0.588363346724745,0.849841004299571,4.44709724391524e-06,0.0581217843237499,0,0.0480357003875173,0.0110507646815589,0,0,0,0,0,9.78950176095342e-05,0,0,0,0,2.42897886258671e-17,1.4834065700024e-17,1.56868716978041e-17,0.0590864650690762,1.43820435102432,0,0
0,0.0303153729754657,0,0,0.159383203035664,0.0040033470545153,0.310878378529852,0.602616481622001,0.881880679084981,1.69259613050213e-06,0,0,0.0155123711908564,0.172823732251655,0,0,0.00425390251687966,0,0,0.037760444988083,0,0,0,0,0,1.37568401588302e-18,1.39565566338033e-18,0.188336103442512,1.48449716070698,0.0040033470545153,0
0,0.0313282612015764,0,0,0.229656089352902,0,0.250540395030769,0.53635654653679,0.927612549265903,1.29078771245624e-06,0.118020584010549,0.0880394015441603,0.139635524121415,0.00674645246097431,0,0,0,0,0,7.1648265147228e-05,0,0,0,0,2.25449587469302e-17,7.52512626547258e-18,7.53221313228067e-17,0.146381976582389,1.46396909580269,0,0
0,0.0200840448407106,0,0.000186279184061945,0.175837143365046,7.33900355601082e-05,0.216195373274023,0.546014179266854,0.831647353972539,0,0.017394344754093,0.0596752404759927,0.00983170833195946,0.0211572588018792,0,0,0,0.000331966773011633,0.00634812606779256,2.75257058094951e-05,0,0,0,0,0,0,0,0.0309889671338387,1.37766153323939,7.33900355601082e-05,0
0,0.0359919523004059,0.00033562741116391,0,0.155343930281799,0.017987962144243,0,0.605865219568218,1.09481586840593,0,0.03035818430186,0,0.00544799055594029,0.0302933124144896,0,0.0086515094802553,0.0123151968373819,0.000219614650233513,0,0.000220501047731163,0,0,0,0,4.57750940715745e-19,0,0,0.0357413029704299,1.70068108797415,0.017987962144243,0.00898713689141921
0,0.593330524500358,0.0129868989151514,0,0.119488987305795,0,0.0341147815965273,0.214120196758282,1.21041950593696,4.10203548467913e-07,0.0167897975289269,0.0745879096384816,0.0429240038188041,0.0304452430455171,0,0.00207986399910016,0,0,0,0.000308874302203845,0,0,0,0,0,2.94302978914944e-19,3.15818183017212e-18,0.0733692468643212,1.42453970269524,0,0.0150667629142516
0,0.0444030938163427,0,0,0.147027748521943,0,0.491833987056208,0.585524476847032,0.806837302260421,0,0.0202538524286315,0.14467925640548,0.00223725468466971,0.0056699898392922,0,0,0,0.000786431450409087,0.00683554339725787,0.000599380837861795,0.00380893639147452,0.0053367016351922,0,0.00281136761267868,7.53074120869569e-18,8.00949100967646e-18,0,0.00790724452396191,1.39236177910745,0,0
0,0.0199127284412774,0,0.000661192251506771,0.230765670114646,0.00911503230564624,0.301620053808229,0.729205613676536,0.831993724792611,8.48948422315201e-07,0.0315497839938357,0.0906181348260216,0.0267330371448202,0.0636131870830429,0.00859976929172196,0,0.00572509710621878,0.0739297093708379,0.0784743971392376,0.0437562352144017,0,0,0,0,0,0,0,0.090346224227863,1.56119933846915,0.0177148015973682,0
0.0258204663617527,0.168919043655451,0,0,0.15085463420864,0,0.212429789426143,0.868777929074509,0.514188110936111,0.0165524468016741,0.107184038341763,0.147360367202037,0,0,0,0,0,0.00304473915400241,0,2.82269582684227e-06,0,0,0,0,2.71233669082483e-18,0,0,0,1.38296604001062,0,0
0.0530018354289787,0.0144259043621151,0,0,0.186526248598416,0.00410292157080138,0.260196201546956,0.611567347626311,0.872237668801362,7.25148719663029e-07,0.0521768552101962,0.216747694634742,0.0202263477839741,0,0.00467286683662413,0,0,4.55063124988953e-05,0,7.12789508571615e-05,0,0,0,0,0,0,3.50513127811024e-18,0.0202263477839741,1.48380501642767,0.0087757884074255,0
0.0499340097252057,0.185502262014971,0.00130974463943325,0,0.163051519585374,0,0.174308846184881,1.19345279817027,0.0625954154157803,5.09466600871414e-07,0,0.0813015797231478,0.00946659619301778,0,0,0,0,0,0.0402189475732022,0.000106569861373405,0,0,0,0,1.16334123278695e-18,8.20454666916991e-19,9.14598919929453e-19,0.00946659619301778,1.25604821358605,0,0.00130974463943325
0.0200979333517925,0,0.00223131867470478,0.00257487104305107,0.198823139932294,0.00415769169861955,0,0.878582880454038,0.576130472255392,5.55247365997375e-06,0.0370091792109477,0.0164497070534672,0.0810568923861674,0.0511989673448963,0.00641143507026516,0,0.0118325265839543,1.01585538116924e-05,0.0140666746390018,0.00019043858013889,0,0,0,0,1.63647713359289e-18,5.99766978533789e-18,7.78616832057389e-19,0.132255859731064,1.45471335270943,0.0105691267688847,0.00223131867470478
