Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0.000244562678869502,0.000936410200112837,0.00135410565664813,0.0728340099591067,0.00323473654602268,0.268425749065334,0.686754993795967,0.900474593898723,0.00148843940792715,0.00417016004803826,0.00595246855714542,0.0106218961865836,0.00658243416700048,0.0567682292960059,0.000694928583067803,0.000552399254649033,0.00961453124334576,0,0.00696087445635239,0.0196388338104872,0,0,0,0,3.18171345754786e-18,4.11384250951594e-19,0,0.185173548903427,0.0633506634630063,1.58722958769469,0.00392966512909048,0.00148880945476187,0.258007558862533
0,0,0.00307330080584236,0.00109066100349337,0.0904401315015593,0,0.33842443776335,0.580699137058361,0.874568824846277,0,6.46445453900568e-08,0.00935058846212738,0.0571234872292175,0.00473208167547241,0,0,0.00252042962923513,0.0192093467299224,0,0,0.000614300852980065,0,0.030512396509119,0,0,0,0,2.18861567917405e-18,0.203874648166391,0.00473208167547241,1.45526796190464,0,0.00559373043507749,0.29431477966795
0,0.00235539491608736,0.00176261314804783,0.000313408724650779,0.0692690331689706,0,0.232614651164017,0.492786822162785,0.689275214639141,0,9.78860016611002e-08,0.00378337484408673,0,0.00615845434641823,0.0506234246660223,0,0.000638739464642216,0.00847548595638765,0,0,8.58900708773258e-05,0,0.000850197219748363,0.0017759467691919,0.00147482462644269,1.17455609522787e-17,1.0236145549431e-18,0,0.171741135200138,0.0567818790124406,1.18206203680193,0,0.00240135261269005,0.241010168369109
0,0.00411429896395554,0.00229594202162625,0,0.0851028385873348,0.00292207040190487,0.164699052106715,0.640099780805731,0.874351832974579,0,0,0.0131156227888969,0.0640797981972297,0.00562932936062524,0,0,0.00129988750914624,0,0,0,0.000506239930863282,0,0,0,0,0,0,0,0.18359228695909,0.00562932936062524,1.51445161378031,0.00292207040190487,0.00359582953077249,0.268695125546425
0,0.00880699191767865,0.00265176617090703,0.0152861247270721,0.0689772256960915,0,0.486352742971347,0.602248962861618,0.940625797352441,0,0,0,0,0.0224544214816037,0.0576540799993537,0,0.00220741958041576,0.00197519379150275,0,0,1.14292780560089e-05,0,0,0,0,0,4.60408158948413e-19,0,0.2212162243079,0.0801085014809575,1.54287476021406,0,0.00485918575132279,0.290193450003991
0,0,0.00200506808038925,0.000593837070636037,0.137674569292612,0.000878473609814168,0.141792160414275,0.739335016567592,0.920417282244129,0,3.95154188560585e-07,0.0351278609410142,0.10836970646104,0.0135884262177719,0.0869409257166498,0.00183096230020105,0.00199700405530627,0.00982971093320286,0.00102446269744795,0.0118622992663935,0.000954069653483593,0,0.0178859436335361,0,0.0299477468146219,7.38162519139004e-18,6.65318911474418e-19,2.50275187911725e-18,0.217500451974142,0.100529351934422,1.65975229881172,0.00270943591001522,0.00400207213569552,0.355175021266754
0,0,0,0.00128039009792739,0.0938306572119397,0.00684572242387663,0.270673370620202,0.591605315364908,0.688975541042249,0.0161314003590844,6.85294578042654e-07,0.0290779069000007,0,0.00132819393057062,0.0734492585391665,0,0,0.00227236495873177,6.73573889173709e-05,0.00886000109973968,3.70668467096753e-07,0,0,0,0,0,0,1.2624114521079e-17,0.224473391538808,0.0747774524697372,1.28058085640716,0.00684572242387663,0,0.318304048750748
0.00208251684705922,0.00513013655520675,0.00197004241677162,0,0.133579260635177,0.0104140301455341,0,0.807713097666503,1.27815146037981,0,0,0.0439749581904333,0.0938672747852908,0.000677315337057042,0,0.00602064277585724,0,0.0014646513432412,0.00166719389488112,0.013546776109001,2.56473024039281e-06,0,0,0.000344141965281892,0,0,0,0,0.243130182924658,0.000677315337057042,2.08586455804631,0.0164346729213913,0.00197004241677162,0.376709443559835
0,0.0210553812838371,0.0028926025455931,0,0.0937584391198366,0,0.39617897777608,0.895850104686242,0.517795422077862,0,0,0.0323958038801875,0.105079289270172,0.0133924820640969,0,0,4.69476958238136e-05,0,0.000556253753638104,0.00891573770305105,2.42489110169863e-05,0,0,0,0,4.57331695659397e-18,0,3.12366010729536e-18,0.193837842456551,0.0133924820640969,1.4136455267641,0,0.00293955024141691,0.287596281576388
0,0.0116687596812382,0.000532670993075404,2.2332169070175e-07,0.0896653697738007,0,0.279187149672091,0.541831014812129,0.560946102877202,0,0,0.0246249218166046,0.0257262445153743,0.00102650981096162,0.0090660868036831,0,0.000350950018255962,0.00361543584673452,0.00335598686160567,0.0136447824736506,0.00417040212034967,0,0,0,0.000151589777166406,0,9.79193155293603e-17,1.49376026179489e-17,0.164016600938082,0.0100925966146447,1.10277711768933,0,0.000883621011331365,0.253681970711883
0,0.00483661086302099,0.00145537681210498,0.00011304889310096,0.0851496012791241,0.00608594294565522,0.36529409359906,0.568579743078979,0.518887844891761,0,7.70422395068623e-07,0.0243478156386367,0.00742622842194182,0,0,0,0.000366314643165509,0,0.000213638624760365,0.0166029212990225,1.20472337250013e-06,0.00071616433768952,0.000395244038396433,0,0,1.90885381889684e-19,0,0,0.231313280877843,0,1.08746758797074,0.00608594294565522,0.00182169145527049,0.316462882156967
0.0585747971902405,0.0276267917174694,0.00253988150268427,9.96795826170613e-05,0.0800102571978616,0.0076449902603147,0.335098978633351,0.709751518522056,0.915406232757911,0,5.84732561263518e-07,0.0137835175969946,0,0.00806154922443869,0.0899315900627114,0.00784505285991166,0,0,0,0,0.0273316511369585,0,0.00157556695204293,0,0.00255316826416577,4.11385774378098e-18,1.32695010482551e-18,0,0.200043645958809,0.0979931392871501,1.62515775127997,0.0154900431202264,0.00253988150268427,0.280053903156671
0,0,0,0.00286572023063649,0.130151787689704,0.00149610930740431,0.129262749784496,0.700537604826277,0.680152300602621,0,0,0.0682655741945329,0,0.000665199424373561,0.0038366587408007,0,0,0.0140775097878318,0.00441185869010146,0.0910634149770175,7.36572235823513e-07,0,3.68440242475422e-05,0,0.000114704097635419,7.02427264456993e-20,0,1.35403210308834e-18,0.216453576717841,0.00450185816517426,1.3806899054289,0.00149610930740431,0,0.346605364407545
