Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,7.52017104407912e-05,0,0.00098775006859819,0.222343921892767,0.00586950152933872,0.165862262652598,0.737158757576372,0.987461605214362,0.103202185798525,6.58327734769374e-07,0.00737929824141417,0.00532843534154443,0.00994870561795325,0.0485084436181145,0.00128570514119625,0,0.0106764092160337,0,0.00845964938195738,0.000902615654706119,0.0102387734937886,0,0.00601081776647427,0,0,4.37395410686737e-19,0,0.0584571492360677,1.72462036279073,0.00715520667053498,0
0,0,0.000766445321232359,0.000624399032055006,0.228200512498035,0.00587869301697894,0.213715787989519,0.696000580234846,0.946575247236906,0.0505975917531673,2.61368923300111e-07,0.0100316453507417,0.0489398855643682,0.00781983573053488,0,0,0.0387875798050693,0.0116160848384024,0,0,1.3981802449142e-05,0,0,0,0,6.29963628871992e-18,0,1.24826609782813e-18,0.00781983573053488,1.64257582747175,0.00587869301697894,0.0395540251263017
0,0.00473936175188071,0,0,0.335952507073273,0,0.286384105466779,0.467503555085327,0.692386399734854,0.127812872990462,0,0.00354707104777485,0,0.0158686535296379,0.0361824300827653,0,0,0.0172829975140494,0,0,4.12174533650966e-05,0,0,0,0,3.1687919030142e-17,2.08526780205129e-17,0,0.0520510836124033,1.15988995482018,0,0
0,0.00413319054624727,0.00114267113359761,0,0.170248735510881,0.0105756840355316,0.0202562854647834,0.616253214887887,1.04243281068439,0.032733789373153,4.73180405785801e-07,0.0133000722545228,0.0688059174309062,0.0144004276067449,0,0.00504144839232721,0.000301322249220501,0,0,0,9.78076621401571e-05,0,0,0,0,0,0,0,0.0144004276067449,1.65868602557227,0.0156171324278588,0.00144399338281811
0,0.0173439160955276,0.000727288435444533,0,0.398339290288689,0,0.458864849638298,0.676134715778432,0.925249827363049,0.1459386730233,0,0,0,0.010934354511088,0.0318512748091077,0,0,0.00455082977623256,8.76878950800383e-05,0.00447802153491271,4.95086976409627e-05,0,0,0,0,0,0,0,0.0427856293201957,1.60138454314148,0,0.000727288435444533
0,0.00325226872179009,0,2.27381178715966e-05,0.27595853670879,0.00817772126750733,0.0624356727173561,0.78981731447269,1.01178519208645,0.0600904367428664,3.22953599583001e-07,0.0359970140890496,0.105184177648536,0.00959913618292462,0.0866349667065613,0.00851257658899664,0,0.0072780552352842,0.00113811975893304,0.0130843005990057,1.68199469386151e-05,0,0,0,0,1.23695832561169e-18,3.22322052469277e-18,0,0.0962341028894859,1.80160250655914,0.016690297856504,0
0,0,0,0.00169095860147502,0.254473112015573,0.00174942564050422,0.0368386903914731,0.690504784521189,0.818884019147632,0.132214310415705,1.24371321809378e-07,0.0814305587390305,0,0,0.107433613192554,0,0,0,0.00155917670518597,0.0306405504920282,2.22306686104517e-06,0,0,0,0.00102155227641503,2.0796773949921e-18,6.58867028156688e-18,5.27554715038396e-18,0.107433613192554,1.50938880366882,0.00174942564050422,0
0.00366891618608458,0.00790103290752758,0,0,0.345653666197142,0.0136293596925811,0,0.788342882103104,1.41431855420137,0.137868485461828,0,0.0526438167455544,0.0881902558533551,0.00824714203341666,0,0.00291574254000073,0,0.00161514481634392,0.00235286443459653,0.0243308408343015,6.09451398321387e-07,0,0,0,0,1.7327206374416e-18,0,0,0.00824714203341666,2.20266143630448,0.0165451022325818,0
7.07719888768675e-05,0.00944315244081244,0,0,0.268412452151601,0,0.291290663921037,0.780705835790053,0.747269619566196,0.0944062807021525,0.00816683123964077,0.0250756130804343,0.0580704528074512,0,0,0,0,0,0.00076514444568189,0.00787109952485187,3.13023950628625e-05,0,0,0,0,0,0,0,0,1.52797545535625,0,0
0,0.0188546153798135,0,0,0.214688008112572,0.00420157637790796,0.174679351735557,0.627318446592879,0.62897354406698,0.0785237808001493,0,0.034410113881985,0.0131298407110961,0.00686318267816623,0,0,0,0.00453426360402904,0.00181939999071523,0.0224069635844336,0.00633850909226206,0,0,0,0,0,0,3.83357420828733e-20,0.00686318267816623,1.25629199065986,0.00420157637790796,0
0,0.0764335343580486,0.00134055329725584,0,0.243611418399189,0.00640217991845191,0.312503832350871,0.961938985601805,0.272664275664394,0.0985699778689915,0.00433646458215064,0.118936676883263,0,0,0,0,0,0,0.00298336157405585,0.0748751005068467,2.91280782375733e-06,0,0,0,0,0,0,0,0,1.2346032612662,0.00640217991845191,0.00134055329725584
0.00306348825314585,0.0425726621452325,0.00135841983958866,0,0.274898427276874,0.0130586057933742,0.133008698019583,0.772690228630219,1.0978079394774,0.109500730487585,1.55055220002273e-06,0.0173527969491146,0,0.00582529542234745,0.0990307056196032,0.0109885402982225,0,0.012919390961045,0,0,3.11123165296682e-05,0,0,0,0,1.19901551523508e-18,1.2784595001493e-17,8.10954140704493e-18,0.104856001041951,1.87049816810762,0.0240471460915967,0.00135841983958866
0,1.63664545298259e-08,0,0.000504463766898206,0.275214021553776,0.00859206003644937,0,0.743011265370135,0.842250421317359,0.0790726335012117,5.75396464973181e-05,0.0670190412104291,0,0,0,0.00436674180997526,0,0.00495167911312912,0.00412493425929684,0.0783121655537656,3.91802870885502e-06,0,0,0.00100290135942551,0,1.13050650864321e-18,0,0,0,1.58526168668749,0.0129588018464246,0
0,0.000971434585836131,0,0,0.306021573125638,0.00642390387235953,0.203374869185746,0.541938769514308,0.70129938613566,0.158803050029153,4.64264466309635e-08,0.0120396921948263,0.0502032732337839,0.0422672550249346,0.0405874578481225,0.00418244419324508,0.113034475209792,0.00179280868585673,0,0.00025700908741109,0.000793919474192391,0,0,0,0,0,0,2.68981235079145e-18,0.0828547128730571,1.24323815564997,0.0106063480656046,0.113034475209792
0,0,0,0.000625818736873891,0.249175919150188,0.00260710394586159,0.175289558275407,0.711218820611312,0.932847105105798,0.128721705980128,2.6184644929778e-07,0.020434194063234,0.0237317426478283,0,0.0101620032897872,0,0.0192339918122598,0.00907239357235184,0.000867357943128924,0.0131577311693801,5.67543088005156e-07,0,0,0,0,1.87952053317628e-18,0,1.56102828294554e-18,0.0101620032897872,1.64406592571711,0.00260710394586159,0.0192339918122598
0,0.000976405321919183,0.000685009204519194,0.000217595310954225,0.246097588911695,0.0161404074130234,0.165691746497899,0.732399261039318,1.03193619747237,0.139931254275473,1.02993766914127e-06,0,0.0129572941647496,0.00420079091428948,0.0948639697536906,0.0086245294481527,0.000664627319716165,0.0121200374132189,0,0,0.000126165738377976,0,0,0,0,0,2.27530462197579e-18,0,0.0990647606679801,1.76433545851168,0.0247649368611761,0.00134963652423536
